Date,date,CDID,Value,series
2003-11-15,2003 DEC,WUMA,.32,Food
2003-12-15,2003 DEC,WUMB,.08,AlcoholTobacco
2003-01-15,2003 DEC,WUMC,-.22,ClothingFootwear
2003-02-15,2003 DEC,WUMD,.23,HousingHouseService
2003-03-15,2003 DEC,WUMP,-.04,FurnitureHousehold
2003-04-15,2003 DEC,WUMQ,.07,Health
2003-05-15,2003 DEC,WUMW,.43,Transport
2003-06-15,2003 DEC,WUMX,-.01,Communication
2003-07-15,2003 DEC,WUNC,-.35,RecreationCulture
2003-08-15,2003 DEC,WUND,.09,Education
2003-09-15,2003 DEC,WUNE,.4,RestaurantsHotels
2003-10-15,2003 DEC,WUNG,.26,Misc
2003-11-15,2003 NOV,WUMA,.28,Food
2003-12-15,2003 NOV,WUMB,.08,AlcoholTobacco
2003-01-15,2003 NOV,WUMC,-.26,ClothingFootwear
2003-02-15,2003 NOV,WUMD,.23,HousingHouseService
2003-03-15,2003 NOV,WUMP,-.02,FurnitureHousehold
2003-04-15,2003 NOV,WUMQ,.08,Health
2003-05-15,2003 NOV,WUMW,.53,Transport
2003-06-15,2003 NOV,WUMX,-.01,Communication
2003-07-15,2003 NOV,WUNC,-.36,RecreationCulture
2003-08-15,2003 NOV,WUND,.09,Education
2003-09-15,2003 NOV,WUNE,.4,RestaurantsHotels
2003-10-15,2003 NOV,WUNG,.28,Misc
2004-11-15,2004 APR,WUMA,.14,Food
2004-12-15,2004 APR,WUMB,.09,AlcoholTobacco
2004-01-15,2004 APR,WUMC,-.29,ClothingFootwear
2004-02-15,2004 APR,WUMD,.35,HousingHouseService
2004-03-15,2004 APR,WUMP,.02,FurnitureHousehold
2004-04-15,2004 APR,WUMQ,.05,Health
2004-05-15,2004 APR,WUMW,.2,Transport
2004-06-15,2004 APR,WUMX,.02,Communication
2004-07-15,2004 APR,WUNC,-.35,RecreationCulture
2004-08-15,2004 APR,WUND,.09,Education
2004-09-15,2004 APR,WUNE,.41,RestaurantsHotels
2004-10-15,2004 APR,WUNG,.39,Misc
2004-11-15,2004 AUG,WUMA,-.02,Food
2004-12-15,2004 AUG,WUMB,.09,AlcoholTobacco
2004-01-15,2004 AUG,WUMC,-.36,ClothingFootwear
2004-02-15,2004 AUG,WUMD,.38,HousingHouseService
2004-03-15,2004 AUG,WUMP,-.04,FurnitureHousehold
2004-04-15,2004 AUG,WUMQ,.03,Health
2004-05-15,2004 AUG,WUMW,.59,Transport
2004-06-15,2004 AUG,WUMX,-.03,Communication
2004-07-15,2004 AUG,WUNC,-.15,RecreationCulture
2004-08-15,2004 AUG,WUND,.09,Education
2004-09-15,2004 AUG,WUNE,.39,RestaurantsHotels
2004-10-15,2004 AUG,WUNG,.32,Misc
2004-11-15,2004 DEC,WUMA,-.01,Food
2004-12-15,2004 DEC,WUMB,.1,AlcoholTobacco
2004-01-15,2004 DEC,WUMC,-.34,ClothingFootwear
2004-02-15,2004 DEC,WUMD,.55,HousingHouseService
2004-03-15,2004 DEC,WUMP,.06,FurnitureHousehold
2004-04-15,2004 DEC,WUMQ,.04,Health
2004-05-15,2004 DEC,WUMW,.61,Transport
2004-06-15,2004 DEC,WUMX,-.06,Communication
2004-07-15,2004 DEC,WUNC,-.09,RecreationCulture
2004-08-15,2004 DEC,WUND,.08,Education
2004-09-15,2004 DEC,WUNE,.4,RestaurantsHotels
2004-10-15,2004 DEC,WUNG,.34,Misc
2004-11-15,2004 FEB,WUMA,.24,Food
2004-12-15,2004 FEB,WUMB,.08,AlcoholTobacco
2004-01-15,2004 FEB,WUMC,-.25,ClothingFootwear
2004-02-15,2004 FEB,WUMD,.24,HousingHouseService
2004-03-15,2004 FEB,WUMP,.01,FurnitureHousehold
2004-04-15,2004 FEB,WUMQ,.05,Health
2004-05-15,2004 FEB,WUMW,.44,Transport
2004-06-15,2004 FEB,WUMX,.01,Communication
2004-07-15,2004 FEB,WUNC,-.45,RecreationCulture
2004-08-15,2004 FEB,WUND,.09,Education
2004-09-15,2004 FEB,WUNE,.39,RestaurantsHotels
2004-10-15,2004 FEB,WUNG,.44,Misc
2004-11-15,2004 JAN,WUMA,.29,Food
2004-12-15,2004 JAN,WUMB,.08,AlcoholTobacco
2004-01-15,2004 JAN,WUMC,-.16,ClothingFootwear
2004-02-15,2004 JAN,WUMD,.24,HousingHouseService
2004-03-15,2004 JAN,WUMP,-.03,FurnitureHousehold
2004-04-15,2004 JAN,WUMQ,.06,Health
2004-05-15,2004 JAN,WUMW,.44,Transport
2004-06-15,2004 JAN,WUMX,-.01,Communication
2004-07-15,2004 JAN,WUNC,-.4,RecreationCulture
2004-08-15,2004 JAN,WUND,.09,Education
2004-09-15,2004 JAN,WUNE,.4,RestaurantsHotels
2004-10-15,2004 JAN,WUNG,.43,Misc
2004-11-15,2004 JUL,WUMA,.02,Food
2004-12-15,2004 JUL,WUMB,.1,AlcoholTobacco
2004-01-15,2004 JUL,WUMC,-.31,ClothingFootwear
2004-02-15,2004 JUL,WUMD,.37,HousingHouseService
2004-03-15,2004 JUL,WUMP,-.07,FurnitureHousehold
2004-04-15,2004 JUL,WUMQ,.03,Health
2004-05-15,2004 JUL,WUMW,.59,Transport
2004-06-15,2004 JUL,WUMX,-.03,Communication
2004-07-15,2004 JUL,WUNC,-.13,RecreationCulture
2004-08-15,2004 JUL,WUND,.09,Education
2004-09-15,2004 JUL,WUNE,.39,RestaurantsHotels
2004-10-15,2004 JUL,WUNG,.33,Misc
2004-11-15,2004 JUN,WUMA,.09,Food
2004-12-15,2004 JUN,WUMB,.09,AlcoholTobacco
2004-01-15,2004 JUN,WUMC,-.3,ClothingFootwear
2004-02-15,2004 JUN,WUMD,.38,HousingHouseService
2004-03-15,2004 JUN,WUMP,.02,FurnitureHousehold
2004-04-15,2004 JUN,WUMQ,.05,Health
2004-05-15,2004 JUN,WUMW,.57,Transport
2004-06-15,2004 JUN,WUMX,.02,Communication
2004-07-15,2004 JUN,WUNC,-.18,RecreationCulture
2004-08-15,2004 JUN,WUND,.09,Education
2004-09-15,2004 JUN,WUNE,.4,RestaurantsHotels
2004-10-15,2004 JUN,WUNG,.36,Misc
2004-11-15,2004 MAR,WUMA,.21,Food
2004-12-15,2004 MAR,WUMB,.09,AlcoholTobacco
2004-01-15,2004 MAR,WUMC,-.29,ClothingFootwear
2004-02-15,2004 MAR,WUMD,.27,HousingHouseService
2004-03-15,2004 MAR,WUMP,-.05,FurnitureHousehold
2004-04-15,2004 MAR,WUMQ,.05,Health
2004-05-15,2004 MAR,WUMW,.31,Transport
2004-06-15,2004 MAR,WUMX,.01,Communication
2004-07-15,2004 MAR,WUNC,-.41,RecreationCulture
2004-08-15,2004 MAR,WUND,.09,Education
2004-09-15,2004 MAR,WUNE,.41,RestaurantsHotels
2004-10-15,2004 MAR,WUNG,.43,Misc
2004-11-15,2004 MAY,WUMA,.11,Food
2004-12-15,2004 MAY,WUMB,.09,AlcoholTobacco
2004-01-15,2004 MAY,WUMC,-.29,ClothingFootwear
2004-02-15,2004 MAY,WUMD,.38,HousingHouseService
2004-03-15,2004 MAY,WUMP,-.01,FurnitureHousehold
2004-04-15,2004 MAY,WUMQ,.05,Health
2004-05-15,2004 MAY,WUMW,.55,Transport
2004-06-15,2004 MAY,WUMX,.02,Communication
2004-07-15,2004 MAY,WUNC,-.31,RecreationCulture
2004-08-15,2004 MAY,WUND,.09,Education
2004-09-15,2004 MAY,WUNE,.41,RestaurantsHotels
2004-10-15,2004 MAY,WUNG,.39,Misc
2004-11-15,2004 NOV,WUMA,-.05,Food
2004-12-15,2004 NOV,WUMB,.1,AlcoholTobacco
2004-01-15,2004 NOV,WUMC,-.33,ClothingFootwear
2004-02-15,2004 NOV,WUMD,.51,HousingHouseService
2004-03-15,2004 NOV,WUMP,-.03,FurnitureHousehold
2004-04-15,2004 NOV,WUMQ,.03,Health
2004-05-15,2004 NOV,WUMW,.6,Transport
2004-06-15,2004 NOV,WUMX,-.05,Communication
2004-07-15,2004 NOV,WUNC,-.14,RecreationCulture
2004-08-15,2004 NOV,WUND,.08,Education
2004-09-15,2004 NOV,WUNE,.4,RestaurantsHotels
2004-10-15,2004 NOV,WUNG,.34,Misc
2004-11-15,2004 OCT,WUMA,-.07,Food
2004-12-15,2004 OCT,WUMB,.09,AlcoholTobacco
2004-01-15,2004 OCT,WUMC,-.34,ClothingFootwear
2004-02-15,2004 OCT,WUMD,.45,HousingHouseService
2004-03-15,2004 OCT,WUMP,-.04,FurnitureHousehold
2004-04-15,2004 OCT,WUMQ,.03,Health
2004-05-15,2004 OCT,WUMW,.5,Transport
2004-06-15,2004 OCT,WUMX,-.06,Communication
2004-07-15,2004 OCT,WUNC,-.15,RecreationCulture
2004-08-15,2004 OCT,WUND,.08,Education
2004-09-15,2004 OCT,WUNE,.39,RestaurantsHotels
2004-10-15,2004 OCT,WUNG,.32,Misc
2004-11-15,2004 SEP,WUMA,-.07,Food
2004-12-15,2004 SEP,WUMB,.1,AlcoholTobacco
2004-01-15,2004 SEP,WUMC,-.37,ClothingFootwear
2004-02-15,2004 SEP,WUMD,.39,HousingHouseService
2004-03-15,2004 SEP,WUMP,-.04,FurnitureHousehold
2004-04-15,2004 SEP,WUMQ,.03,Health
2004-05-15,2004 SEP,WUMW,.5,Transport
2004-06-15,2004 SEP,WUMX,-.07,Communication
2004-07-15,2004 SEP,WUNC,-.16,RecreationCulture
2004-08-15,2004 SEP,WUND,.08,Education
2004-09-15,2004 SEP,WUNE,.37,RestaurantsHotels
2004-10-15,2004 SEP,WUNG,.32,Misc
2005-11-15,2005 APR,WUMA,.11,Food
2005-12-15,2005 APR,WUMB,.1,AlcoholTobacco
2005-01-15,2005 APR,WUMC,-.34,ClothingFootwear
2005-02-15,2005 APR,WUMD,.67,HousingHouseService
2005-03-15,2005 APR,WUMP,-.04,FurnitureHousehold
2005-04-15,2005 APR,WUMQ,.06,Health
2005-05-15,2005 APR,WUMW,.57,Transport
2005-06-15,2005 APR,WUMX,-.09,Communication
2005-07-15,2005 APR,WUNC,-.09,RecreationCulture
2005-08-15,2005 APR,WUND,.08,Education
2005-09-15,2005 APR,WUNE,.45,RestaurantsHotels
2005-10-15,2005 APR,WUNG,.46,Misc
2005-11-15,2005 AUG,WUMA,.23,Food
2005-12-15,2005 AUG,WUMB,.08,AlcoholTobacco
2005-01-15,2005 AUG,WUMC,-.29,ClothingFootwear
2005-02-15,2005 AUG,WUMD,.66,HousingHouseService
2005-03-15,2005 AUG,WUMP,.05,FurnitureHousehold
2005-04-15,2005 AUG,WUMQ,.09,Health
2005-05-15,2005 AUG,WUMW,.83,Transport
2005-06-15,2005 AUG,WUMX,-.05,Communication
2005-07-15,2005 AUG,WUNC,-.3,RecreationCulture
2005-08-15,2005 AUG,WUND,.08,Education
2005-09-15,2005 AUG,WUNE,.49,RestaurantsHotels
2005-10-15,2005 AUG,WUNG,.55,Misc
2005-11-15,2005 DEC,WUMA,.18,Food
2005-12-15,2005 DEC,WUMB,.12,AlcoholTobacco
2005-01-15,2005 DEC,WUMC,-.27,ClothingFootwear
2005-02-15,2005 DEC,WUMD,.67,HousingHouseService
2005-03-15,2005 DEC,WUMP,.01,FurnitureHousehold
2005-04-15,2005 DEC,WUMQ,.06,Health
2005-05-15,2005 DEC,WUMW,.42,Transport
2005-06-15,2005 DEC,WUMX,-.03,Communication
2005-07-15,2005 DEC,WUNC,-.26,RecreationCulture
2005-08-15,2005 DEC,WUND,.08,Education
