Date,Date2,Households,Firms,Notes
31-Mar-03,2003-03-31,630574,255906,
28-Feb-03,2003-02-28,624388,254388,
31-Jan-03,2003-01-31,618148,252786,
31-Dec-02,2002-12-31,611651,253860,
30-Nov-02,2002-11-30,605619,249138,
31-Oct-02,2002-10-31,598562,246511,
30-Sep-02,2002-09-30,591917,240586,
31-Aug-02,2002-08-31,585909,239511,
31-Jul-02,2002-07-31,579766,236553,
30-Jun-02,2002-06-30,574094,234253,
31-May-02,2002-05-31,568315,232367,
30-Apr-02,2002-04-30,562167,228992,
31-Mar-02,2002-03-31,556752,229405,
28-Feb-02,2002-02-28,551545,228295,
31-Jan-02,2002-01-31,546451,227840,
31-Dec-01,2001-12-31,541966,228675,
30-Nov-01,2001-11-30,537536,229086,
31-Oct-01,2001-10-31,533350,229074,
30-Sep-01,2001-09-30,529320,227951,
31-Aug-01,2001-08-31,525010,225992,
31-Jul-01,2001-07-31,520834,224246,
30-Jun-01,2001-06-30,516695,222152,
31-May-01,2001-05-31,512839,217393,
30-Apr-01,2001-04-30,509176,219120,
31-Mar-01,2001-03-31,505392,217571,
28-Feb-01,2001-02-28,501628,215316,
31-Jan-01,2001-01-31,498245,212915,
31-Dec-00,2000-12-31,494972,208932,
30-Nov-00,2000-11-30,485375,206460,
31-Oct-00,2000-10-31,482448,206344,
30-Sep-00,2000-09-30,479751,204779,
31-Aug-00,2000-08-31,477209,202906,
31-Jul-00,2000-07-31,474568,199816,
30-Jun-00,2000-06-30,472069,198065,
31-May-00,2000-05-31,468746,199836,
30-Apr-00,2000-04-30,466109,194466,
31-Mar-00,2000-03-31,463007,190120,
29-Feb-00,2000-02-29,459681,187380,
31-Jan-00,2000-01-31,456868,185981,
31-Dec-99,1999-12-31,453774,184450,
30-Nov-99,1999-11-30,450881,181863,
31-Oct-99,1999-10-31,447979,179238,
30-Sep-99,1999-09-30,444657,178124,
31-Aug-99,1999-08-31,441530,177188,
31-Jul-99,1999-07-31,438723,177289,
30-Jun-99,1999-06-30,435806,177428,
31-May-99,1999-05-31,433048,177683,
30-Apr-99,1999-04-30,430358,177273,
31-Mar-99,1999-03-31,428230,175760,
28-Feb-99,1999-02-28,425700,176127,
31-Jan-99,1999-01-31,423511,175191,
31-Dec-98,1998-12-31,421419,174550,
30-Nov-98,1998-11-30,419342,174430,
31-Oct-98,1998-10-31,417568,172233,
30-Sep-98,1998-09-30,414637,172894,
31-Aug-98,1998-08-31,412937,171810,
31-Jul-98,1998-07-31,411021,171198,
30-Jun-98,1998-06-30,409090,170421,
31-May-98,1998-05-31,407308,169654,
30-Apr-98,1998-04-30,405597,169568,
31-Mar-98,1998-03-31,403679,169657,
28-Feb-98,1998-02-28,402134,172399,
31-Jan-98,1998-01-31,400260,168870,
31-Dec-97,1997-12-31,398498,168351,
30-Nov-97,1997-11-30,396856,168194,
31-Oct-97,1997-10-31,395094,168164,
30-Sep-97,1997-09-30,393361,167678,
31-Aug-97,1997-08-31,392617,null,
31-Jul-97,1997-07-31,390810,null,
30-Jun-97,1997-06-30,389791,null,
31-May-97,1997-05-31,387871,null,
30-Apr-97,1997-04-30,385949,null,
31-Mar-97,1997-03-31,384625,null,
28-Feb-97,1997-02-28,382700,null,
31-Jan-97,1997-01-31,380809,null,
31-Dec-96,1996-12-31,379012,null,
30-Nov-96,1996-11-30,376807,null,
31-Oct-96,1996-10-31,374891,null,
30-Sep-96,1996-09-30,373044,null,
31-Aug-96,1996-08-31,371211,null,
31-Jul-96,1996-07-31,369658,null,
30-Jun-96,1996-06-30,368071,null,
31-May-96,1996-05-31,366182,null,
30-Apr-96,1996-04-30,364630,null,
31-Mar-96,1996-03-31,363260,null,
29-Feb-96,1996-02-29,361787,null,
31-Jan-96,1996-01-31,360406,null,
31-Dec-95,1995-12-31,359043,null,
30-Nov-95,1995-11-30,357654,null,
31-Oct-95,1995-10-31,356425,null,
30-Sep-95,1995-09-30,355532,null,
31-Aug-95,1995-08-31,353917,null,
31-Jul-95,1995-07-31,353068,null,
30-Jun-95,1995-06-30,351990,null,
31-May-95,1995-05-31,350638,null,
30-Apr-95,1995-04-30,349418,null,
31-Mar-95,1995-03-31,347954,null,
28-Feb-95,1995-02-28,346606,null,
31-Jan-95,1995-01-31,345109,null,
31-Dec-94,1994-12-31,343616,null,
30-Nov-94,1994-11-30,342163,null,
31-Oct-94,1994-10-31,340720,null,
30-Sep-94,1994-09-30,339182,null,
31-Aug-94,1994-08-31,337737,null,
31-Jul-94,1994-07-31,336164,null,
30-Jun-94,1994-06-30,334268,null,
31-May-94,1994-05-31,332809,null,
30-Apr-94,1994-04-30,331264,null,
31-Mar-94,1994-03-31,329552,null,
28-Feb-94,1994-02-28,327882,null,
31-Jan-94,1994-01-31,326386,null,
31-Dec-93,1993-12-31,324808,null,
30-Nov-93,1993-11-30,323225,null,
31-Oct-93,1993-10-31,321750,null,
30-Sep-93,1993-09-30,320128,null,
31-Aug-93,1993-08-31,318478,null,
31-Jul-93,1993-07-31,317020,null,
30-Jun-93,1993-06-30,315562,null,
31-May-93,1993-05-31,314263,null,
30-Apr-93,1993-04-30,312706,null,
