Date,date,AUSS,id,USDGBP,frequency
Impo--15,Important notes,,8,,
1953-10-15,1953 Q4,,120,,quarterly
1954-1-15,1954 Q1,,121,,quarterly
1954-4-15,1954 Q2,,122,,quarterly
1954-7-15,1954 Q3,,123,,quarterly
1954-10-15,1954 Q4,,124,,quarterly
1955-1-15,1955 Q1,,125,,quarterly
1955-4-15,1955 Q2,,126,,quarterly
1955-7-15,1955 Q3,,127,,quarterly
1955-10-15,1955 Q4,,128,,quarterly
1956-1-15,1956 Q1,,129,,quarterly
1956-4-15,1956 Q2,,130,,quarterly
1956-7-15,1956 Q3,,131,,quarterly
1956-10-15,1956 Q4,,132,,quarterly
1957-1-15,1957 Q1,,133,,quarterly
1957-4-15,1957 Q2,,134,,quarterly
1957-7-15,1957 Q3,,135,,quarterly
1957-10-15,1957 Q4,,136,,quarterly
1958-1-15,1958 Q1,,137,,quarterly
1958-4-15,1958 Q2,,138,,quarterly
1958-7-15,1958 Q3,,139,,quarterly
1958-10-15,1958 Q4,,140,,quarterly
1959-1-15,1959 Q1,,141,,quarterly
1959-4-15,1959 Q2,,142,,quarterly
1959-7-15,1959 Q3,,143,,quarterly
1959-10-15,1959 Q4,,144,,quarterly
1960-1-15,1960 Q1,,145,,quarterly
1960-4-15,1960 Q2,,146,,quarterly
1960-7-15,1960 Q3,,147,,quarterly
1960-10-15,1960 Q4,,148,,quarterly
1961-1-15,1961 Q1,,149,,quarterly
1961-4-15,1961 Q2,,150,,quarterly
1961-7-15,1961 Q3,,151,,quarterly
1961-10-15,1961 Q4,,152,,quarterly
1962-1-15,1962 Q1,,153,,quarterly
1962-4-15,1962 Q2,,154,,quarterly
1962-7-15,1962 Q3,,155,,quarterly
1962-10-15,1962 Q4,,156,,quarterly
1963-1-15,1963 Q1,,157,,quarterly
1963-4-15,1963 Q2,,158,,quarterly
1963-7-15,1963 Q3,,159,,quarterly
1963-10-15,1963 Q4,,160,,quarterly
1964-1-15,1964 Q1,,161,,quarterly
1964-4-15,1964 Q2,,162,,quarterly
1964-7-15,1964 Q3,,163,,quarterly
1964-10-15,1964 Q4,,164,,quarterly
1965-1-15,1965 Q1,,165,,quarterly
1965-4-15,1965 Q2,,166,,quarterly
1965-7-15,1965 Q3,,167,,quarterly
1965-10-15,1965 Q4,,168,,quarterly
1966-1-15,1966 Q1,,169,,quarterly
1966-4-15,1966 Q2,,170,,quarterly
1966-7-15,1966 Q3,,171,,quarterly
1966-10-15,1966 Q4,,172,,quarterly
1967-1-15,1967 Q1,,173,,quarterly
1967-4-15,1967 Q2,,174,,quarterly
1967-7-15,1967 Q3,,175,,quarterly
1967-10-15,1967 Q4,,176,,quarterly
1968-1-15,1968 Q1,,177,,quarterly
1968-4-15,1968 Q2,,178,,quarterly
1968-7-15,1968 Q3,,179,,quarterly
1968-10-15,1968 Q4,,180,,quarterly
1969-1-15,1969 Q1,,181,,quarterly
1969-4-15,1969 Q2,,182,,quarterly
1969-7-15,1969 Q3,,183,,quarterly
1969-10-15,1969 Q4,,184,,quarterly
1970-1-15,1970 Q1,,185,,quarterly
1970-4-15,1970 Q2,,186,,quarterly
1970-7-15,1970 Q3,,187,,quarterly
1970-10-15,1970 Q4,,188,,quarterly
1971-1-15,1971 Q1,,189,,quarterly
1971-4-15,1971 Q2,,190,,quarterly
1971-7-15,1971 Q3,,191,,quarterly
1971-10-15,1971 Q4,,192,,quarterly
1972-1-15,1972 Q1,,193,,quarterly
1972-4-15,1972 Q2,,194,,quarterly
1972-7-15,1972 Q3,,195,,quarterly
1972-10-15,1972 Q4,,196,,quarterly
1973-1-15,1973 Q1,,197,,quarterly
1973-4-15,1973 Q2,,198,,quarterly
1973-7-15,1973 Q3,,199,,quarterly
1973-10-15,1973 Q4,,200,,quarterly
