date,Date,CDID,Value,Value_s,series,frequency
1983 Q1,1983-1-15,D7G7,,null,CPI,quarterly
1983 Q1,1983-1-15,L55O,,null,CPIH,quarterly
1983 Q2,1983-4-15,CZBH,3.8,3.8,RPI,quarterly
1983 Q2,1983-4-15,D7G7,,null,CPI,quarterly
1983 Q2,1983-4-15,L55O,,null,CPIH,quarterly
1983 Q3,1983-7-15,CZBH,4.6,4.6,RPI,quarterly
1983 Q3,1983-7-15,D7G7,,null,CPI,quarterly
1983 Q3,1983-7-15,L55O,,null,CPIH,quarterly
1983 Q4,1983-10-15,CZBH,5,5,RPI,quarterly
1983 Q4,1983-10-15,D7G7,,null,CPI,quarterly
1983 Q4,1983-10-15,L55O,,null,CPIH,quarterly
1983 SEP,1983-9-15,CZBH,5.1,5.1,RPI,monthly
1983 SEP,1983-9-15,D7G7,,null,CPI,monthly
1983 SEP,1983-9-15,L55O,,null,CPIH,monthly
1984,1984,CZBH,5,5,RPI,annual
1984,1984,D7G7,,null,CPI,annual
1984,1984,L55O,,null,CPIH,annual
1984 APR,1984-4-15,CZBH,5.2,5.2,RPI,monthly
1984 APR,1984-4-15,D7G7,,null,CPI,monthly
1984 APR,1984-4-15,L55O,,null,CPIH,monthly
1984 AUG,1984-8-15,CZBH,5,5,RPI,monthly
1984 AUG,1984-8-15,D7G7,,null,CPI,monthly
1984 AUG,1984-8-15,L55O,,null,CPIH,monthly
1984 DEC,1984-12-15,CZBH,4.6,4.6,RPI,monthly
1984 DEC,1984-12-15,D7G7,,null,CPI,monthly
1984 DEC,1984-12-15,L55O,,null,CPIH,monthly
1984 FEB,1984-2-15,CZBH,5.1,5.1,RPI,monthly
1984 FEB,1984-2-15,D7G7,,null,CPI,monthly
1984 FEB,1984-2-15,L55O,,null,CPIH,monthly
1984 JAN,1984-1-15,CZBH,5.1,5.1,RPI,monthly
1984 JAN,1984-1-15,D7G7,,null,CPI,monthly
1984 JAN,1984-1-15,L55O,,null,CPIH,monthly
1984 JUL,1984-7-15,CZBH,4.5,4.5,RPI,monthly
1984 JUL,1984-7-15,D7G7,,null,CPI,monthly
1984 JUL,1984-7-15,L55O,,null,CPIH,monthly
1984 JUN,1984-6-15,CZBH,5.1,5.1,RPI,monthly
1984 JUN,1984-6-15,D7G7,,null,CPI,monthly
1984 JUN,1984-6-15,L55O,,null,CPIH,monthly
1984 MAR,1984-3-15,CZBH,5.2,5.2,RPI,monthly
1984 MAR,1984-3-15,D7G7,,null,CPI,monthly
1984 MAR,1984-3-15,L55O,,null,CPIH,monthly
1984 MAY,1984-5-15,CZBH,5.1,5.1,RPI,monthly
1984 MAY,1984-5-15,D7G7,,null,CPI,monthly
1984 MAY,1984-5-15,L55O,,null,CPIH,monthly
1984 NOV,1984-11-15,CZBH,4.9,4.9,RPI,monthly
1984 NOV,1984-11-15,D7G7,,null,CPI,monthly
1984 NOV,1984-11-15,L55O,,null,CPIH,monthly
1984 OCT,1984-10-15,CZBH,5,5,RPI,monthly
1984 OCT,1984-10-15,D7G7,,null,CPI,monthly
1984 OCT,1984-10-15,L55O,,null,CPIH,monthly
1984 Q1,1984-1-15,CZBH,5.1,5.1,RPI,quarterly
1984 Q1,1984-1-15,D7G7,,null,CPI,quarterly
1984 Q1,1984-1-15,L55O,,null,CPIH,quarterly
1984 Q2,1984-4-15,CZBH,5.1,5.1,RPI,quarterly
1984 Q2,1984-4-15,D7G7,,null,CPI,quarterly
1984 Q2,1984-4-15,L55O,,null,CPIH,quarterly
1984 Q3,1984-7-15,CZBH,4.7,4.7,RPI,quarterly
1984 Q3,1984-7-15,D7G7,,null,CPI,quarterly
1984 Q3,1984-7-15,L55O,,null,CPIH,quarterly
1984 Q4,1984-10-15,CZBH,4.8,4.8,RPI,quarterly
1984 Q4,1984-10-15,D7G7,,null,CPI,quarterly
1984 Q4,1984-10-15,L55O,,null,CPIH,quarterly
1984 SEP,1984-9-15,CZBH,4.7,4.7,RPI,monthly
1984 SEP,1984-9-15,D7G7,,null,CPI,monthly
1984 SEP,1984-9-15,L55O,,null,CPIH,monthly
1985,1985,CZBH,6.1,6.1,RPI,annual
1985,1985,D7G7,,null,CPI,annual
1985,1985,L55O,,null,CPIH,annual
1985 APR,1985-4-15,CZBH,6.9,6.9,RPI,monthly
1985 APR,1985-4-15,D7G7,,null,CPI,monthly
1985 APR,1985-4-15,L55O,,null,CPIH,monthly
1985 AUG,1985-8-15,CZBH,6.2,6.2,RPI,monthly
1985 AUG,1985-8-15,D7G7,,null,CPI,monthly
1985 AUG,1985-8-15,L55O,,null,CPIH,monthly
1985 DEC,1985-12-15,CZBH,5.7,5.7,RPI,monthly
1985 DEC,1985-12-15,D7G7,,null,CPI,monthly
1985 DEC,1985-12-15,L55O,,null,CPIH,monthly
1985 FEB,1985-2-15,CZBH,5.4,5.4,RPI,monthly
1985 FEB,1985-2-15,D7G7,,null,CPI,monthly
1985 FEB,1985-2-15,L55O,,null,CPIH,monthly
1985 JAN,1985-1-15,CZBH,5,5,RPI,monthly
1985 JAN,1985-1-15,D7G7,,null,CPI,monthly
1985 JAN,1985-1-15,L55O,,null,CPIH,monthly
1985 JUL,1985-7-15,CZBH,6.9,6.9,RPI,monthly
1985 JUL,1985-7-15,D7G7,,null,CPI,monthly
1985 JUL,1985-7-15,L55O,,null,CPIH,monthly
1985 JUN,1985-6-15,CZBH,7,7,RPI,monthly
1985 JUN,1985-6-15,D7G7,,null,CPI,monthly
1985 JUN,1985-6-15,L55O,,null,CPIH,monthly
1985 MAR,1985-3-15,CZBH,6.1,6.1,RPI,monthly
1985 MAR,1985-3-15,D7G7,,null,CPI,monthly
1985 MAR,1985-3-15,L55O,,null,CPIH,monthly
1985 MAY,1985-5-15,CZBH,7,7,RPI,monthly
1985 MAY,1985-5-15,D7G7,,null,CPI,monthly
1985 MAY,1985-5-15,L55O,,null,CPIH,monthly
1985 NOV,1985-11-15,CZBH,5.5,5.5,RPI,monthly
1985 NOV,1985-11-15,D7G7,,null,CPI,monthly
1985 NOV,1985-11-15,L55O,,null,CPIH,monthly
1985 OCT,1985-10-15,CZBH,5.4,5.4,RPI,monthly
1985 OCT,1985-10-15,D7G7,,null,CPI,monthly
1985 OCT,1985-10-15,L55O,,null,CPIH,monthly
1985 Q1,1985-1-15,CZBH,5.5,5.5,RPI,quarterly
1985 Q1,1985-1-15,D7G7,,null,CPI,quarterly
1985 Q1,1985-1-15,L55O,,null,CPIH,quarterly
1985 Q2,1985-4-15,CZBH,7,7,RPI,quarterly
1985 Q2,1985-4-15,D7G7,,null,CPI,quarterly
1985 Q2,1985-4-15,L55O,,null,CPIH,quarterly
1985 Q3,1985-7-15,CZBH,6.3,6.3,RPI,quarterly
1985 Q3,1985-7-15,D7G7,,null,CPI,quarterly
1985 Q3,1985-7-15,L55O,,null,CPIH,quarterly
1985 Q4,1985-10-15,CZBH,5.5,5.5,RPI,quarterly
1985 Q4,1985-10-15,D7G7,,null,CPI,quarterly
1985 Q4,1985-10-15,L55O,,null,CPIH,quarterly
1985 SEP,1985-9-15,CZBH,5.9,5.9,RPI,monthly
1985 SEP,1985-9-15,D7G7,,null,CPI,monthly
1985 SEP,1985-9-15,L55O,,null,CPIH,monthly
1986,1986,CZBH,3.4,3.4,RPI,annual
1986,1986,D7G7,,null,CPI,annual
1986,1986,L55O,,null,CPIH,annual
1986 APR,1986-4-15,CZBH,3,3,RPI,monthly
1986 APR,1986-4-15,D7G7,,null,CPI,monthly
1986 APR,1986-4-15,L55O,,null,CPIH,monthly
1986 AUG,1986-8-15,CZBH,2.4,2.4,RPI,monthly
1986 AUG,1986-8-15,D7G7,,null,CPI,monthly
1986 AUG,1986-8-15,L55O,,null,CPIH,monthly
1986 DEC,1986-12-15,CZBH,3.7,3.7,RPI,monthly
1986 DEC,1986-12-15,D7G7,,null,CPI,monthly
1986 DEC,1986-12-15,L55O,,null,CPIH,monthly
1986 FEB,1986-2-15,CZBH,5.1,5.1,RPI,monthly
1986 FEB,1986-2-15,D7G7,,null,CPI,monthly
1986 FEB,1986-2-15,L55O,,null,CPIH,monthly
1986 JAN,1986-1-15,CZBH,5.5,5.5,RPI,monthly
1986 JAN,1986-1-15,D7G7,,null,CPI,monthly
1986 JAN,1986-1-15,L55O,,null,CPIH,monthly
1986 JUL,1986-7-15,CZBH,2.4,2.4,RPI,monthly
1986 JUL,1986-7-15,D7G7,,null,CPI,monthly
1986 JUL,1986-7-15,L55O,,null,CPIH,monthly
1986 JUN,1986-6-15,CZBH,2.5,2.5,RPI,monthly
1986 JUN,1986-6-15,D7G7,,null,CPI,monthly
1986 JUN,1986-6-15,L55O,,null,CPIH,monthly
1986 MAR,1986-3-15,CZBH,4.2,4.2,RPI,monthly
1986 MAR,1986-3-15,D7G7,,null,CPI,monthly
1986 MAR,1986-3-15,L55O,,null,CPIH,monthly
1986 MAY,1986-5-15,CZBH,2.8,2.8,RPI,monthly
1986 MAY,1986-5-15,D7G7,,null,CPI,monthly
1986 MAY,1986-5-15,L55O,,null,CPIH,monthly
1986 NOV,1986-11-15,CZBH,3.5,3.5,RPI,monthly
1986 NOV,1986-11-15,D7G7,,null,CPI,monthly
1986 NOV,1986-11-15,L55O,,null,CPIH,monthly
1986 OCT,1986-10-15,CZBH,3,3,RPI,monthly
1986 OCT,1986-10-15,D7G7,,null,CPI,monthly
1986 OCT,1986-10-15,L55O,,null,CPIH,monthly
1986 Q1,1986-1-15,CZBH,4.9,4.9,RPI,quarterly
1986 Q1,1986-1-15,D7G7,,null,CPI,quarterly
1986 Q1,1986-1-15,L55O,,null,CPIH,quarterly
1986 Q2,1986-4-15,CZBH,2.8,2.8,RPI,quarterly
1986 Q2,1986-4-15,D7G7,,null,CPI,quarterly
1986 Q2,1986-4-15,L55O,,null,CPIH,quarterly
1986 Q3,1986-7-15,CZBH,2.6,2.6,RPI,quarterly
1986 Q3,1986-7-15,D7G7,,null,CPI,quarterly
1986 Q3,1986-7-15,L55O,,null,CPIH,quarterly
1986 Q4,1986-10-15,CZBH,3.4,3.4,RPI,quarterly
1986 Q4,1986-10-15,D7G7,,null,CPI,quarterly
1986 Q4,1986-10-15,L55O,,null,CPIH,quarterly
1986 SEP,1986-9-15,CZBH,3,3,RPI,monthly
1986 SEP,1986-9-15,D7G7,,null,CPI,monthly
1986 SEP,1986-9-15,L55O,,null,CPIH,monthly
1987,1987,CZBH,4.2,4.2,RPI,annual
1987,1987,D7G7,,null,CPI,annual
1987,1987,L55O,,null,CPIH,annual
1987 APR,1987-4-15,CZBH,4.2,4.2,RPI,monthly
1987 APR,1987-4-15,D7G7,,null,CPI,monthly
1987 APR,1987-4-15,L55O,,null,CPIH,monthly
1987 AUG,1987-8-15,CZBH,4.4,4.4,RPI,monthly
1987 AUG,1987-8-15,D7G7,,null,CPI,monthly
1987 AUG,1987-8-15,L55O,,null,CPIH,monthly
1987 DEC,1987-12-15,CZBH,3.7,3.7,RPI,monthly
1987 DEC,1987-12-15,D7G7,,null,CPI,monthly
1987 DEC,1987-12-15,L55O,,null,CPIH,monthly
1987 FEB,1987-2-15,CZBH,3.9,3.9,RPI,monthly
1987 FEB,1987-2-15,D7G7,,null,CPI,monthly
1987 FEB,1987-2-15,L55O,,null,CPIH,monthly
1987 JAN,1987-1-15,CZBH,3.9,3.9,RPI,monthly
1987 JAN,1987-1-15,D7G7,,null,CPI,monthly
1987 JAN,1987-1-15,L55O,,null,CPIH,monthly
1987 JUL,1987-7-15,CZBH,4.4,4.4,RPI,monthly
1987 JUL,1987-7-15,D7G7,,null,CPI,monthly
1987 JUL,1987-7-15,L55O,,null,CPIH,monthly
1987 JUN,1987-6-15,CZBH,4.2,4.2,RPI,monthly
1987 JUN,1987-6-15,D7G7,,null,CPI,monthly
1987 JUN,1987-6-15,L55O,,null,CPIH,monthly
1987 MAR,1987-3-15,CZBH,4,4,RPI,monthly
1987 MAR,1987-3-15,D7G7,,null,CPI,monthly
1987 MAR,1987-3-15,L55O,,null,CPIH,monthly
1987 MAY,1987-5-15,CZBH,4.1,4.1,RPI,monthly
1987 MAY,1987-5-15,D7G7,,null,CPI,monthly
1987 MAY,1987-5-15,L55O,,null,CPIH,monthly
1987 NOV,1987-11-15,CZBH,4.1,4.1,RPI,monthly
1987 NOV,1987-11-15,D7G7,,null,CPI,monthly
1987 NOV,1987-11-15,L55O,,null,CPIH,monthly
1987 OCT,1987-10-15,CZBH,4.5,4.5,RPI,monthly
1987 OCT,1987-10-15,D7G7,,null,CPI,monthly
1987 OCT,1987-10-15,L55O,,null,CPIH,monthly
1987 Q1,1987-1-15,CZBH,3.9,3.9,RPI,quarterly
1987 Q1,1987-1-15,D7G7,,null,CPI,quarterly
1987 Q1,1987-1-15,L55O,,null,CPIH,quarterly
1987 Q2,1987-4-15,CZBH,4.2,4.2,RPI,quarterly
1987 Q2,1987-4-15,D7G7,,null,CPI,quarterly
1987 Q2,1987-4-15,L55O,,null,CPIH,quarterly
1987 Q3,1987-7-15,CZBH,4.3,4.3,RPI,quarterly
1987 Q3,1987-7-15,D7G7,,null,CPI,quarterly
1987 Q3,1987-7-15,L55O,,null,CPIH,quarterly
1987 Q4,1987-10-15,CZBH,4.1,4.1,RPI,quarterly
1987 Q4,1987-10-15,D7G7,,null,CPI,quarterly
1987 Q4,1987-10-15,L55O,,null,CPIH,quarterly
1987 SEP,1987-9-15,CZBH,4.2,4.2,RPI,monthly
1987 SEP,1987-9-15,D7G7,,null,CPI,monthly
1987 SEP,1987-9-15,L55O,,null,CPIH,monthly
1988,1988,CZBH,4.9,4.9,RPI,annual
1988,1988,D7G7,,null,CPI,annual
1988,1988,L55O,,null,CPIH,annual
1988 APR,1988-4-15,CZBH,3.9,3.9,RPI,monthly
1988 APR,1988-4-15,D7G7,,null,CPI,monthly
1988 APR,1988-4-15,L55O,,null,CPIH,monthly
1988 AUG,1988-8-15,CZBH,5.7,5.7,RPI,monthly
1988 AUG,1988-8-15,D7G7,,null,CPI,monthly
1988 AUG,1988-8-15,L55O,,null,CPIH,monthly
1988 DEC,1988-12-15,CZBH,6.8,6.8,RPI,monthly
1988 DEC,1988-12-15,D7G7,,null,CPI,monthly
1988 DEC,1988-12-15,L55O,,null,CPIH,monthly
1988 FEB,1988-2-15,CZBH,3.3,3.3,RPI,monthly
1988 FEB,1988-2-15,D7G7,,null,CPI,monthly
1988 FEB,1988-2-15,L55O,,null,CPIH,monthly
1988 JAN,1988-1-15,CZBH,3.3,3.3,RPI,monthly
1988 JAN,1988-1-15,D7G7,,null,CPI,monthly
1988 JAN,1988-1-15,L55O,,null,CPIH,monthly
1988 JUL,1988-7-15,CZBH,4.8,4.8,RPI,monthly
1988 JUL,1988-7-15,D7G7,,null,CPI,monthly
1988 JUL,1988-7-15,L55O,,null,CPIH,monthly
1988 JUN,1988-6-15,CZBH,4.6,4.6,RPI,monthly
1988 JUN,1988-6-15,D7G7,,null,CPI,monthly
1988 JUN,1988-6-15,L55O,,null,CPIH,monthly
1988 MAR,1988-3-15,CZBH,3.5,3.5,RPI,monthly
1988 MAR,1988-3-15,D7G7,,null,CPI,monthly
1988 MAR,1988-3-15,L55O,,null,CPIH,monthly
1988 MAY,1988-5-15,CZBH,4.2,4.2,RPI,monthly
1988 MAY,1988-5-15,D7G7,,null,CPI,monthly
1988 MAY,1988-5-15,L55O,,null,CPIH,monthly
1988 NOV,1988-11-15,CZBH,6.4,6.4,RPI,monthly
1988 NOV,1988-11-15,D7G7,,null,CPI,monthly
1988 NOV,1988-11-15,L55O,,null,CPIH,monthly
1988 OCT,1988-10-15,CZBH,6.4,6.4,RPI,monthly
1988 OCT,1988-10-15,D7G7,,null,CPI,monthly
1988 OCT,1988-10-15,L55O,,null,CPIH,monthly
1988 Q1,1988-1-15,CZBH,3.4,3.4,RPI,quarterly
1988 Q1,1988-1-15,D7G7,,null,CPI,quarterly
1988 Q1,1988-1-15,L55O,,null,CPIH,quarterly
1988 Q2,1988-4-15,CZBH,4.2,4.2,RPI,quarterly
1988 Q2,1988-4-15,D7G7,,null,CPI,quarterly
1988 Q2,1988-4-15,L55O,,null,CPIH,quarterly
1988 Q3,1988-7-15,CZBH,5.5,5.5,RPI,quarterly
1988 Q3,1988-7-15,D7G7,,null,CPI,quarterly
1988 Q3,1988-7-15,L55O,,null,CPIH,quarterly
1988 Q4,1988-10-15,CZBH,6.5,6.5,RPI,quarterly
1988 Q4,1988-10-15,D7G7,,null,CPI,quarterly
1988 Q4,1988-10-15,L55O,,null,CPIH,quarterly
1988 SEP,1988-9-15,CZBH,5.9,5.9,RPI,monthly
1988 SEP,1988-9-15,D7G7,,null,CPI,monthly
1988 SEP,1988-9-15,L55O,,null,CPIH,monthly
1989,1989,CZBH,7.8,7.8,RPI,annual
1989,1989,D7G7,5.2,5.2,CPI,annual
1989,1989,L55O,5.7,5.7,CPIH,annual
1989 APR,1989-4-15,CZBH,8,8,RPI,monthly
1989 APR,1989-4-15,D7G7,5.3,5.3,CPI,monthly
1989 APR,1989-4-15,L55O,5.6,5.6,CPIH,monthly
1989 AUG,1989-8-15,CZBH,7.3,7.3,RPI,monthly
1989 AUG,1989-8-15,D7G7,5,5,CPI,monthly
1989 AUG,1989-8-15,L55O,5.5,5.5,CPIH,monthly
1989 DEC,1989-12-15,CZBH,7.7,7.7,RPI,monthly
1989 DEC,1989-12-15,D7G7,5.5,5.5,CPI,monthly
1989 DEC,1989-12-15,L55O,5.8,5.8,CPIH,monthly
1989 FEB,1989-2-15,CZBH,7.8,7.8,RPI,monthly
1989 FEB,1989-2-15,D7G7,5,5,CPI,monthly
1989 FEB,1989-2-15,L55O,5.8,5.8,CPIH,monthly
1989 JAN,1989-1-15,CZBH,7.5,7.5,RPI,monthly
1989 JAN,1989-1-15,D7G7,4.9,4.9,CPI,monthly
1989 JAN,1989-1-15,L55O,5.7,5.7,CPIH,monthly
1989 JUL,1989-7-15,CZBH,8.199999999999999,8.2,RPI,monthly
1989 JUL,1989-7-15,D7G7,5.2,5.2,CPI,monthly
1989 JUL,1989-7-15,L55O,5.7,5.7,CPIH,monthly
1989 JUN,1989-6-15,CZBH,8.300000000000001,8.3,RPI,monthly
1989 JUN,1989-6-15,D7G7,5.2,5.2,CPI,monthly
1989 JUN,1989-6-15,L55O,5.8,5.8,CPIH,monthly
1989 MAR,1989-3-15,CZBH,7.9,7.9,RPI,monthly
1989 MAR,1989-3-15,D7G7,5,5,CPI,monthly
1989 MAR,1989-3-15,L55O,5.9,5.9,CPIH,monthly
1989 MAY,1989-5-15,CZBH,8.300000000000001,8.3,RPI,monthly
1989 MAY,1989-5-15,D7G7,5.3,5.3,CPI,monthly
1989 MAY,1989-5-15,L55O,5.9,5.9,CPIH,monthly
1989 NOV,1989-11-15,CZBH,7.7,7.7,RPI,monthly
1989 NOV,1989-11-15,D7G7,5.5,5.5,CPI,monthly
1989 NOV,1989-11-15,L55O,5.7,5.7,CPIH,monthly
1989 OCT,1989-10-15,CZBH,7.3,7.3,RPI,monthly
1989 OCT,1989-10-15,D7G7,5.5,5.5,CPI,monthly
1989 OCT,1989-10-15,L55O,5.8,5.8,CPIH,monthly
1989 Q1,1989-1-15,CZBH,7.7,7.7,RPI,quarterly
1989 Q1,1989-1-15,D7G7,5,5,CPI,quarterly
1989 Q1,1989-1-15,L55O,5.8,5.8,CPIH,quarterly
1989 Q2,1989-4-15,CZBH,8.199999999999999,8.2,RPI,quarterly
1989 Q2,1989-4-15,D7G7,5.3,5.3,CPI,quarterly
1989 Q2,1989-4-15,L55O,5.8,5.8,CPIH,quarterly
1989 Q3,1989-7-15,CZBH,7.7,7.7,RPI,quarterly
1989 Q3,1989-7-15,D7G7,5.1,5.1,CPI,quarterly
1989 Q3,1989-7-15,L55O,5.6,5.6,CPIH,quarterly
1989 Q4,1989-10-15,CZBH,7.6,7.6,RPI,quarterly
1989 Q4,1989-10-15,D7G7,5.5,5.5,CPI,quarterly
1989 Q4,1989-10-15,L55O,5.7,5.7,CPIH,quarterly
1989 SEP,1989-9-15,CZBH,7.6,7.6,RPI,monthly
1989 SEP,1989-9-15,D7G7,5.2,5.2,CPI,monthly
1989 SEP,1989-9-15,L55O,5.7,5.7,CPIH,monthly
1990,1990,CZBH,9.5,9.5,RPI,annual
1990,1990,D7G7,7,7,CPI,annual
1990,1990,L55O,8,8,CPIH,annual
1990 APR,1990-4-15,CZBH,9.4,9.4,RPI,monthly
1990 APR,1990-4-15,D7G7,6.4,6.4,CPI,monthly
1990 APR,1990-4-15,L55O,7.7,7.7,CPIH,monthly
1990 AUG,1990-8-15,CZBH,10.6,10.6,RPI,monthly
1990 AUG,1990-8-15,D7G7,7.7,7.7,CPI,monthly
1990 AUG,1990-8-15,L55O,8.9,8.9,CPIH,monthly
1990 DEC,1990-12-15,CZBH,9.300000000000001,9.3,RPI,monthly
1990 DEC,1990-12-15,D7G7,7.6,7.6,CPI,monthly
1990 DEC,1990-12-15,L55O,9.199999999999999,9.2,CPIH,monthly
1990 FEB,1990-2-15,CZBH,7.5,7.5,RPI,monthly
1990 FEB,1990-2-15,D7G7,5.9,5.9,CPI,monthly
1990 FEB,1990-2-15,L55O,6.3,6.3,CPIH,monthly
1990 JAN,1990-1-15,CZBH,7.7,7.7,RPI,monthly
1990 JAN,1990-1-15,D7G7,5.7,5.7,CPI,monthly
1990 JAN,1990-1-15,L55O,5.9,5.9,CPIH,monthly
1990 JUL,1990-7-15,CZBH,9.800000000000001,9.8,RPI,monthly
1990 JUL,1990-7-15,D7G7,6.8,6.8,CPI,monthly
1990 JUL,1990-7-15,L55O,8.199999999999999,8.2,CPIH,monthly
1990 JUN,1990-6-15,CZBH,9.800000000000001,9.8,RPI,monthly
1990 JUN,1990-6-15,D7G7,6.9,6.9,CPI,monthly
1990 JUN,1990-6-15,L55O,8.199999999999999,8.2,CPIH,monthly
1990 MAR,1990-3-15,CZBH,8.1,8.1,RPI,monthly
1990 MAR,1990-3-15,D7G7,6,6,CPI,monthly
1990 MAR,1990-3-15,L55O,6.2,6.2,CPIH,monthly
1990 MAY,1990-5-15,CZBH,9.699999999999999,9.7,RPI,monthly
1990 MAY,1990-5-15,D7G7,6.8,6.8,CPI,monthly
1990 MAY,1990-5-15,L55O,8.199999999999999,8.2,CPIH,monthly
1990 NOV,1990-11-15,CZBH,9.699999999999999,9.7,RPI,monthly
1990 NOV,1990-11-15,D7G7,7.8,7.8,CPI,monthly
1990 NOV,1990-11-15,L55O,9.199999999999999,9.2,CPIH,monthly
1990 OCT,1990-10-15,CZBH,10.9,10.9,RPI,monthly
1990 OCT,1990-10-15,D7G7,8.1,8.1,CPI,monthly
1990 OCT,1990-10-15,L55O,9.199999999999999,9.2,CPIH,monthly
1990 Q1,1990-1-15,CZBH,7.8,7.8,RPI,quarterly
1990 Q1,1990-1-15,D7G7,5.8,5.8,CPI,quarterly
1990 Q1,1990-1-15,L55O,6.1,6.1,CPIH,quarterly
1990 Q2,1990-4-15,CZBH,9.6,9.6,RPI,quarterly
1990 Q2,1990-4-15,D7G7,6.7,6.7,CPI,quarterly
1990 Q2,1990-4-15,L55O,8,8,CPIH,quarterly
1990 Q3,1990-7-15,CZBH,10.4,10.4,RPI,quarterly
1990 Q3,1990-7-15,D7G7,7.5,7.5,CPI,quarterly
1990 Q3,1990-7-15,L55O,8.800000000000001,8.8,CPIH,quarterly
1990 Q4,1990-10-15,CZBH,10,10,RPI,quarterly
1990 Q4,1990-10-15,D7G7,7.8,7.8,CPI,quarterly
1990 Q4,1990-10-15,L55O,9.199999999999999,9.2,CPIH,quarterly
1990 SEP,1990-9-15,CZBH,10.9,10.9,RPI,monthly
1990 SEP,1990-9-15,D7G7,8.1,8.1,CPI,monthly
1990 SEP,1990-9-15,L55O,9.199999999999999,9.2,CPIH,monthly
1991,1991,CZBH,5.9,5.9,RPI,annual
1991,1991,D7G7,7.5,7.5,CPI,annual
1991,1991,L55O,7.5,7.5,CPIH,annual
1991 APR,1991-4-15,CZBH,6.4,6.4,RPI,monthly
1991 APR,1991-4-15,D7G7,8.4,8.4,CPI,monthly
1991 APR,1991-4-15,L55O,8,8,CPIH,monthly
1991 AUG,1991-8-15,CZBH,4.7,4.7,RPI,monthly
1991 AUG,1991-8-15,D7G7,7.9,7.9,CPI,monthly
1991 AUG,1991-8-15,L55O,7.5,7.5,CPIH,monthly
1991 DEC,1991-12-15,CZBH,4.5,4.5,RPI,monthly
1991 DEC,1991-12-15,D7G7,7.2,7.2,CPI,monthly
1991 DEC,1991-12-15,L55O,6.5,6.5,CPIH,monthly
1991 FEB,1991-2-15,CZBH,8.9,8.9,RPI,monthly
1991 FEB,1991-2-15,D7G7,7,7,CPI,monthly
1991 FEB,1991-2-15,L55O,8.199999999999999,8.2,CPIH,monthly
1991 JAN,1991-1-15,CZBH,9,9,RPI,monthly
1991 JAN,1991-1-15,D7G7,7.1,7.1,CPI,monthly
1991 JAN,1991-1-15,L55O,8.6,8.6,CPIH,monthly
1991 JUL,1991-7-15,CZBH,5.5,5.5,RPI,monthly
1991 JUL,1991-7-15,D7G7,8.300000000000001,8.3,CPI,monthly
1991 JUL,1991-7-15,L55O,7.5,7.5,CPIH,monthly
1991 JUN,1991-6-15,CZBH,5.8,5.8,RPI,monthly
1991 JUN,1991-6-15,D7G7,8.4,8.4,CPI,monthly
1991 JUN,1991-6-15,L55O,7.7,7.7,CPIH,monthly
1991 MAR,1991-3-15,CZBH,8.199999999999999,8.2,RPI,monthly
1991 MAR,1991-3-15,D7G7,6.9,6.9,CPI,monthly
1991 MAR,1991-3-15,L55O,8.300000000000001,8.3,CPIH,monthly
1991 MAY,1991-5-15,CZBH,5.8,5.8,RPI,monthly
1991 MAY,1991-5-15,D7G7,8.199999999999999,8.2,CPI,monthly
1991 MAY,1991-5-15,L55O,7.5,7.5,CPIH,monthly
1991 NOV,1991-11-15,CZBH,4.3,4.3,RPI,monthly
1991 NOV,1991-11-15,D7G7,7.1,7.1,CPI,monthly
1991 NOV,1991-11-15,L55O,6.5,6.5,CPIH,monthly
1991 OCT,1991-10-15,CZBH,3.7,3.7,RPI,monthly
1991 OCT,1991-10-15,D7G7,6.8,6.8,CPI,monthly
1991 OCT,1991-10-15,L55O,6.5,6.5,CPIH,monthly
1991 Q1,1991-1-15,CZBH,8.699999999999999,8.7,RPI,quarterly
1991 Q1,1991-1-15,D7G7,7,7,CPI,quarterly
1991 Q1,1991-1-15,L55O,8.4,8.4,CPIH,quarterly
1991 Q2,1991-4-15,CZBH,6,6,RPI,quarterly
1991 Q2,1991-4-15,D7G7,8.300000000000001,8.3,CPI,quarterly
1991 Q2,1991-4-15,L55O,7.7,7.7,CPIH,quarterly
1991 Q3,1991-7-15,CZBH,4.8,4.8,RPI,quarterly
1991 Q3,1991-7-15,D7G7,7.8,7.8,CPI,quarterly
1991 Q3,1991-7-15,L55O,7.3,7.3,CPIH,quarterly
1991 Q4,1991-10-15,CZBH,4.2,4.2,RPI,quarterly
1991 Q4,1991-10-15,D7G7,7,7,CPI,quarterly
1991 Q4,1991-10-15,L55O,6.5,6.5,CPIH,quarterly
1991 SEP,1991-9-15,CZBH,4.1,4.1,RPI,monthly
1991 SEP,1991-9-15,D7G7,7.1,7.1,CPI,monthly
1991 SEP,1991-9-15,L55O,6.9,6.9,CPIH,monthly
1992,1992,CZBH,3.7,3.7,RPI,annual
1992,1992,D7G7,4.2,4.2,CPI,annual
1992,1992,L55O,4.6,4.6,CPIH,annual
1992 APR,1992-4-15,CZBH,4.3,4.3,RPI,monthly
1992 APR,1992-4-15,D7G7,4.7,4.7,CPI,monthly
1992 APR,1992-4-15,L55O,5.2,5.2,CPIH,monthly
1992 AUG,1992-8-15,CZBH,3.6,3.6,RPI,monthly
1992 AUG,1992-8-15,D7G7,3,3,CPI,monthly
