Date,Date2,Reserve balances,Weekly amounts outstanding of Central Bank short-term open market operations (fine-tuning) (in sterling millions) not seasonally adjusted                           RPWB58A,Weekly amounts outstanding of Central Bank sterling short-term market operations with Bank of England counterparties (one-week) (in sterling millions) not seasonally adjusted                           RPWB9R8,Weekly amounts outstanding of Central Bank short-term open market operations (other maturity within-maintenance period sterling) (in sterling millions) not seasonally adjusted                           RPWBV79,Notes,Weekly amounts outstanding of Central Bank fine-tuning reverse repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWB68A,Weekly amounts outstanding of Central Bank one-week reverse repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWB67A,Weekly amounts outstanding of Central Bank sterling other maturity within-maintenance period reverse repos Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWBL59,Weekly amounts outstanding of Central Bank sterling indexed long-term repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWZ4TJ,Weekly amounts outstanding of Central Bank sterling contingent term repo facility with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWZ4TK,Weekly amounts outstanding of Central Bank sterling denominated bond holdings total (in sterling millions) not seasonally adjusted                           RPWZ4TL,Weekly amounts outstanding of Central Bank sterling loan to Asset Purchase Facility total (in sterling millions) not seasonally adjusted                           RPWZ4TM,Accounting value of the aggregate drawings from the Term Funding Scheme on the Bank of England balance sheet (in sterling millions) financed by the creation of central bank reserves              [b]             RPWZO8Q,Accounting value of the aggregate drawings from the Term Funding Scheme with additional incentives for SMEs (TFSME) (in sterling millions) financed by the creation of central bank reserves                           RPWZOQ4,Weekly amounts outstanding of Central Bank sterling loan to Covid Corporate Financing Facility total (in sterling millions) not seasonally adjusted                           RPWZOQ3,Weekly amounts outstanding of Central Bank foreign currency public securities issued total (in sterling millions) not seasonally adjusted                           RPWB59A,Weekly amounts outstanding of Central Bank all foreign currency reserve assets total (in sterling millions) not seasonally adjusted                           RPWZ4TN,Series
06-Jan-21,2021-01-06,770506,0,0,0,85086,0,0,0,4698,0,14182,747897,50060,68246,12212,4498,4496,Weekly amounts outstanding of Central Bank sterling denominated bond holdings total (in sterling millions) not seasonally adjusted                           RPWZ4TL
30-Dec-20,2020-12-30,767807,0,0,0,85394,0,0,0,4698,0,14179,744937,50110,68243,12162,4489,4487,Weekly amounts outstanding of Central Bank sterling loan to Asset Purchase Facility total (in sterling millions) not seasonally adjusted                           RPWZ4TM
23-Dec-20,2020-12-23,770976,0,0,0,85246,0,0,0,4698,0,14175,744937,50405,68222,12237,4516,4513,Accounting value of the aggregate drawings from the Term Funding Scheme on the Bank of England balance sheet (in sterling millions) financed by the creation of central bank reserves              [b]             RPWZO8Q
16-Dec-20,2020-12-16,772815,0,0,0,84306,0,0,0,4688,0,14153,743880,51197,67277,13408,4526,4524,Accounting value of the aggregate drawings from the Term Funding Scheme with additional incentives for SMEs (TFSME) (in sterling millions) financed by the creation of central bank reserves                           RPWZOQ4
09-Dec-20,2020-12-09,767734,0,0,0,83783,0,0,0,4683,0,14079,739461,57520,57597,14887,4556,4555,Weekly amounts outstanding of Central Bank sterling loan to Covid Corporate Financing Facility total (in sterling millions) not seasonally adjusted                           RPWZOQ3
02-Dec-20,2020-12-02,769745,0,0,0,83163,0,0,0,5873,0,14097,735042,60389,56166,15142,4580,4578,Weekly amounts outstanding of Central Bank foreign currency public securities issued total (in sterling millions) not seasonally adjusted                           RPWB59A
25-Nov-20,2020-11-25,770091,0,0,0,82708,0,0,0,5860,0,14076,730624,67312,50812,15131,4562,4561,Weekly amounts outstanding of Central Bank all foreign currency reserve assets total (in sterling millions) not seasonally adjusted                           RPWZ4TN
18-Nov-20,2020-11-18,768196,0,0,0,82540,0,0,0,5860,0,14040,726205,69756,50251,15360,4590,4589,
11-Nov-20,2020-11-11,766661,0,0,0,82551,0,0,0,5860,0,13947,721786,70256,49654,15236,4621,4620,
04-Nov-20,2020-11-04,761947,0,0,0,82450,0,0,0,5910,0,13915,718840,70566,49645,15321,4702,4700,
28-Oct-20,2020-10-28,754166,0,0,0,82304,0,0,0,5905,0,13879,717367,70691,48528,15291,4695,4693,
21-Oct-20,2020-10-21,747633,0,0,0,82130,0,0,0,5905,0,13862,714421,70835,46006,15236,4640,4639,
14-Oct-20,2020-10-14,745080,0,0,0,82019,0,0,0,5905,0,13804,712948,71235,45716,15849,4682,4681,
07-Oct-20,2020-10-07,740507,0,0,0,82108,0,0,0,9880,0,13736,710002,72485,45159,15849,4733,4732,
30-Sep-20,2020-09-30,731618,0,0,0,82060,0,0,0,9855,0,13680,708247,72485,45148,15724,4723,4720,
23-Sep-20,2020-09-23,722703,0,0,0,81793,0,0,0,9750,0,13667,703269,75585,35223,16423,4784,4782,
16-Sep-20,2020-09-16,720704,0,0,0,81720,0,0,0,9675,0,13646,697143,75935,34724,16991,4695,4692,
09-Sep-20,2020-09-09,720979,0,0,0,81695,0,0,0,9660,0,13643,693581,80935,34326,17678,4698,4694,
02-Sep-20,2020-09-02,732945,0,0,0,81664,0,0,0,25959,0,13956,687555,80935,33606,17433,4612,4609,
26-Aug-20,2020-08-26,735560,0,0,0,81348,0,0,0,25634,0,13974,684467,80945,29823,17532,4647,4645,
19-Aug-20,2020-08-19,729045,0,0,0,81288,0,0,0,25519,0,13970,679890,81911,28216,17533,4667,4665,
12-Aug-20,2020-08-12,723510,0,0,0,81388,0,0,0,25469,0,13952,675311,87338,22217,17483,4710,4709,
05-Aug-20,2020-08-05,721079,0,0,0,81236,0,0,0,26454,0,13949,668762,87829,21885,17393,4684,4683,
29-Jul-20,2020-07-29,710964,0,0,0,80952,0,0,0,26454,0,13937,661637,87855,19438,17393,4745,4742,
22-Jul-20,2020-07-22,705387,0,0,0,80746,0,0,0,26454,125,13916,654606,88085,18738,18718,4831,4828,
15-Jul-20,2020-07-15,708984,0,0,0,80512,0,0,0,26454,125,13924,647292,93096,18396,18498,4879,4876,
08-Jul-20,2020-07-08,706027,0,0,0,80105,0,0,0,28949,135,13920,640115,93096,18344,18254,4881,4877,
01-Jul-20,2020-07-01,695052,0,0,0,79618,0,0,0,28949,385,13916,632994,93096,17838,17616,4934,4930,
24-Jun-20,2020-06-24,694623,0,0,0,79133,0,0,0,27809,6390,13880,625607,93336,14195,18596,4934,4930,
17-Jun-20,2020-06-17,686007,0,0,0,78785,0,0,0,27794,6390,13877,612756,99751,12435,17759,4897,4893,
10-Jun-20,2020-06-10,675541,0,0,0,78305,0,0,0,27544,6385,13851,598707,105651,11980,16310,4814,4809,
03-Jun-20,2020-06-03,666056,0,0,0,77757,0,0,0,27874,6385,13814,584745,106571,11980,16186,4873,5052,
27-May-20,2020-05-27,657680,0,0,0,77153,0,0,0,27869,6385,13747,571035,107099,11920,18979,5028,5274,
20-May-20,2020-05-20,643792,0,0,0,76452,0,0,0,27679,6385,13744,557018,107129,11920,20498,5004,5249,
13-May-20,2020-05-13,627404,0,0,0,76171,0,0,0,27479,6385,13718,542664,107174,11320,18767,5024,5265,
06-May-20,2020-05-06,614755,0,0,0,75533,0,0,0,27454,6385,13714,528507,107174,10970,17684,4961,5201,
29-Apr-20,2020-04-29,594210,0,0,0,75076,0,0,0,27194,6385,13682,514491,107174,8200,15910,4932,5130,
22-Apr-20,2020-04-22,570640,0,0,0,74818,0,0,0,25969,6385,13598,500169,107189,6000,11218,3346,3475,
15-Apr-20,2020-04-15,552079,0,0,0,74957,0,0,0,25269,11385,13562,486190,107189,0,8244,3293,3420,
08-Apr-20,2020-04-08,532371,0,0,0,74907,0,0,0,24987,11380,13558,471995,107189,n/a,5873,3318,3444,
01-Apr-20,2020-04-01,512834,0,0,0,74842,0,0,0,21737,11130,13554,458496,107189,n/a,1908,3324,3450,
25-Mar-20,2020-03-25,481339,0,0,0,74835,0,0,0,14537,0,13464,447996,107189,n/a,n/a,3492,3620,
18-Mar-20,2020-03-18,465635,0,0,0,74048,0,0,0,10858,0,13461,444997,107189,n/a,n/a,3500,3628,
11-Mar-20,2020-03-11,460129,0,0,0,74046,0,0,0,8298,0,13465,444997,107189,n/a,n/a,3195,3314,
04-Mar-20,2020-03-04,469040,0,0,0,74113,0,0,0,8192,0,14425,444997,107189,n/a,n/a,4796,4251,
26-Feb-20,2020-02-26,474973,0,0,0,74072,0,0,0,8172,0,14394,444997,107249,n/a,n/a,4730,4729,
19-Feb-20,2020-02-19,477016,0,0,0,73876,0,0,0,8147,0,14366,444997,107649,n/a,n/a,4727,4727,
12-Feb-20,2020-02-12,476201,0,0,0,73925,0,0,0,8137,0,14332,444997,107659,n/a,n/a,4715,4716,
05-Feb-20,2020-02-05,475770,0,0,0,74190,0,0,0,8357,0,14264,444997,107659,n/a,n/a,4705,4704,
29-Jan-20,2020-01-29,475796,0,0,0,74271,0,0,0,8252,0,14260,444997,107704,n/a,n/a,4701,4700,
22-Jan-20,2020-01-22,473473,0,0,0,74488,0,0,0,7992,0,14222,444997,107924,n/a,n/a,4648,4649,
15-Jan-20,2020-01-15,474291,0,0,0,74695,0,0,0,7442,0,14170,444997,107954,n/a,n/a,4687,4618,
08-Jan-20,2020-01-08,475642,0,0,0,75665,0,0,0,8502,0,14108,444997,108164,n/a,n/a,4658,4961,
01-Jan-20,2020-01-01,473150,0,0,0,77669,0,0,0,8502,0,14104,444997,108164,n/a,n/a,4622,4927,
25-Dec-19,2019-12-25,475579,0,0,0,78004,0,0,0,8502,0,14100,444997,110164,n/a,n/a,4709,5015,
18-Dec-19,2019-12-18,476327,0,0,0,77010,0,0,0,8472,0,14096,444997,110175,n/a,n/a,4656,4959,
11-Dec-19,2019-12-11,479192,0,0,0,76229,0,0,0,7932,0,14092,444997,112690,n/a,n/a,4620,4920,
04-Dec-19,2019-12-04,484171,0,0,0,76038,0,0,0,9703,0,14026,444997,112690,n/a,n/a,4646,4647,
27-Nov-19,2019-11-27,483356,0,0,0,75788,0,0,0,9093,0,14057,444997,112731,n/a,n/a,4728,4885,
20-Nov-19,2019-11-20,483761,0,0,0,75685,0,0,0,9093,0,14043,444997,112864,n/a,n/a,4714,4958,
13-Nov-19,2019-11-13,485724,0,0,0,75644,0,0,0,9093,0,14015,444997,114429,n/a,n/a,4734,4978,
06-Nov-19,2019-11-06,487077,0,0,0,75779,0,0,0,10188,0,13980,444997,114429,n/a,n/a,4723,4966,
30-Oct-19,2019-10-30,485886,0,0,0,75937,0,0,0,10038,0,13961,444997,114429,n/a,n/a,4721,5106,
23-Oct-19,2019-10-23,484366,0,0,0,75994,0,0,0,9398,0,13935,444997,114439,n/a,n/a,4718,4960,
16-Oct-19,2019-10-16,484528,0,0,0,76000,0,0,0,9033,0,13920,444997,114453,n/a,n/a,4747,4902,
09-Oct-19,2019-10-09,484757,0,0,0,76040,0,0,0,8673,0,13882,444997,114453,n/a,n/a,4982,5143,
02-Oct-19,2019-10-02,480443,0,0,0,76143,0,0,0,8997,0,13856,444997,114453,n/a,n/a,4942,5101,
25-Sep-19,2019-09-25,476654,0,0,0,76128,0,0,0,8917,0,13822,444997,115292,n/a,n/a,4901,5061,
18-Sep-19,2019-09-18,472920,0,0,0,76154,0,0,0,8917,0,13794,444997,116156,n/a,n/a,4855,5013,
11-Sep-19,2019-09-11,468687,0,0,0,76300,0,0,0,8892,0,13768,444997,116266,n/a,n/a,4917,5076,
04-Sep-19,2019-09-04,466583,0,0,0,76451,0,0,0,11893,0,14053,444997,116266,n/a,n/a,5020,5180,
28-Aug-19,2019-08-28,477604,0,0,0,76559,0,0,0,11873,0,14001,444997,116276,n/a,n/a,5004,5164,
21-Aug-19,2019-08-21,486850,0,0,0,76358,0,0,0,11768,0,13986,444997,116726,n/a,n/a,5057,5221,
14-Aug-19,2019-08-14,487144,0,0,0,76265,0,0,0,11743,0,13967,444997,116742,n/a,n/a,5083,5244,
07-Aug-19,2019-08-07,487676,0,0,0,76302,0,0,0,13823,0,13933,444997,116742,n/a,n/a,5045,5206,
31-Jul-19,2019-07-31,486936,0,0,0,76168,0,0,0,13538,0,13905,444997,116742,n/a,n/a,4986,5141,
