Date,US,Japan,UK,FEDFUNDS,"Effective Federal Funds Rate, Percent, Monthly, Not Seasonally Adjusted"
1970-01-01,8.98,6.25,8.00,IRSTCB01JPM156N,"Immediate Rates: Less than 24 Hours: Central Bank Rates for Japan, Percent, Monthly, Not Seasonally Adjusted"
1970-02-01,8.98,6.25,8.00,BOERUKM,"Bank of England Policy Rate in the United Kingdom, Percent per Annum, Monthly, Not Seasonally Adjusted"
1970-03-01,7.76,6.25,7.50,,
1970-04-01,8.10,6.25,7.00,,
1970-05-01,7.95,6.25,7.00,,
1970-06-01,7.61,6.25,7.00,,
1970-07-01,7.21,6.25,7.00,,
1970-08-01,6.62,6.25,7.00,,
1970-09-01,6.29,6.25,7.00,,
1970-10-01,6.20,6.00,7.00,,
1970-11-01,5.60,6.00,7.00,,
1970-12-01,4.90,6.00,7.00,,
1971-01-01,4.14,5.75,7.00,,
1971-02-01,3.72,5.75,7.00,,
1971-03-01,3.71,5.75,7.00,,
1971-04-01,4.16,5.75,6.00,,
1971-05-01,4.63,5.50,6.00,,
1971-06-01,4.91,5.50,6.00,,
1971-07-01,5.31,5.25,6.00,,
1971-08-01,5.57,5.25,6.00,,
1971-09-01,5.55,5.25,5.00,,
1971-10-01,5.20,5.25,5.00,,
1971-11-01,4.91,5.25,5.00,,
1971-12-01,4.14,4.75,5.00,,
1972-01-01,3.51,4.75,5.00,,
1972-02-01,3.30,4.75,5.00,,
1972-03-01,3.83,4.75,5.00,,
1972-04-01,4.17,4.75,5.00,,
1972-05-01,4.27,4.75,5.00,,
1972-06-01,4.46,4.25,6.00,,
1972-07-01,4.55,4.25,6.00,,
1972-08-01,4.81,4.25,6.00,,
1972-09-01,4.87,4.25,6.00,,
1972-10-01,5.05,4.25,7.50,,
1972-11-01,5.06,4.25,7.50,,
1972-12-01,5.33,4.25,9.00,,
1973-01-01,5.94,4.25,8.75,,
1973-02-01,6.58,4.25,8.75,,
1973-03-01,7.09,4.25,8.50,,
1973-04-01,7.12,5.00,8.25,,
1973-05-01,7.84,5.50,7.75,,
1973-06-01,8.49,5.50,7.50,,
1973-07-01,10.40,6.00,11.50,,
1973-08-01,10.50,7.00,11.50,,
1973-09-01,10.78,7.00,11.50,,
1973-10-01,10.01,7.00,11.25,,
1973-11-01,10.03,7.00,13.00,,
1973-12-01,9.95,9.00,13.00,,
1974-01-01,9.65,9.00,12.75,,
1974-02-01,8.97,9.00,12.50,,
1974-03-01,9.35,9.00,12.50,,
1974-04-01,10.51,9.00,12.00,,
1974-05-01,11.31,9.00,11.75,,
1974-06-01,11.93,9.00,11.75,,
1974-07-01,12.92,9.00,11.75,,
1974-08-01,12.01,9.00,11.75,,
1974-09-01,11.34,9.00,11.50,,
1974-10-01,10.06,9.00,11.50,,
1974-11-01,9.45,9.00,11.50,,
1974-12-01,8.53,9.00,11.50,,
1975-01-01,7.13,9.00,11.00,,
1975-02-01,6.24,9.00,10.50,,
1975-03-01,5.54,9.00,10.00,,
1975-04-01,5.49,8.50,9.75,,
1975-05-01,5.22,8.50,10.00,,
1975-06-01,5.55,8.00,10.00,,
1975-07-01,6.10,8.00,11.00,,
1975-08-01,6.14,7.50,11.00,,
1975-09-01,6.24,7.50,11.00,,
1975-10-01,5.82,6.50,12.00,,
1975-11-01,5.22,6.50,11.75,,
1975-12-01,5.20,6.50,11.25,,
1976-01-01,4.87,6.50,10.50,,
1976-02-01,4.77,6.50,9.50,,
1976-03-01,4.84,6.50,9.00,,
1976-04-01,4.82,6.50,10.50,,
1976-05-01,5.29,6.50,11.50,,
1976-06-01,5.48,6.50,11.50,,
1976-07-01,5.31,6.50,11.50,,
1976-08-01,5.29,6.50,11.50,,
1976-09-01,5.25,6.50,13.00,,
1976-10-01,5.02,6.50,15.00,,
1976-11-01,4.95,6.50,14.75,,
1976-12-01,4.65,6.50,14.25,,
1977-01-01,4.61,6.50,12.25,,
1977-02-01,4.68,6.50,12.00,,
1977-03-01,4.69,6.00,9.50,,
1977-04-01,4.73,5.00,8.75,,
1977-05-01,5.35,5.00,8.00,,
1977-06-01,5.39,5.00,8.00,,
1977-07-01,5.42,5.00,8.00,,
1977-08-01,5.90,5.00,7.00,,
1977-09-01,6.14,4.25,6.00,,
1977-10-01,6.47,4.25,5.00,,
1977-11-01,6.51,4.25,7.00,,
1977-12-01,6.56,4.25,7.00,,
1978-01-01,6.70,4.25,6.50,,
1978-02-01,6.78,4.25,6.50,,
1978-03-01,6.79,3.50,6.50,,
1978-04-01,6.89,3.50,7.50,,
1978-05-01,7.36,3.50,9.00,,
1978-06-01,7.60,3.50,10.00,,
1978-07-01,7.81,3.50,10.00,,
1978-08-01,8.04,3.50,10.00,,
1978-09-01,8.45,3.50,10.00,,
1978-10-01,8.96,3.50,10.00,,
1978-11-01,9.76,3.50,12.50,,
1978-12-01,10.03,3.50,12.50,,
1979-01-01,10.07,3.50,12.50,,
1979-02-01,10.06,3.50,14.00,,
1979-03-01,10.09,3.50,13.00,,
1979-04-01,10.01,4.25,12.00,,
1979-05-01,10.24,4.25,12.00,,
1979-06-01,10.29,4.25,14.00,,
1979-07-01,10.47,5.25,14.00,,
1979-08-01,10.94,5.25,14.00,,
1979-09-01,11.43,5.25,14.00,,
1979-10-01,13.77,5.25,14.00,,
1979-11-01,13.18,6.25,17.00,,
1979-12-01,13.78,6.25,17.00,,
1980-01-01,13.82,6.25,17.00,,
1980-02-01,14.13,7.25,17.00,,
1980-03-01,17.19,9.00,17.00,,
1980-04-01,17.61,9.00,17.00,,
1980-05-01,10.98,9.00,17.00,,
1980-06-01,9.47,9.00,17.00,,
1980-07-01,9.03,9.00,16.00,,
1980-08-01,9.61,8.25,16.00,,
1980-09-01,10.87,8.25,16.00,,
1980-10-01,12.81,8.25,16.00,,
1980-11-01,15.85,7.25,14.00,,
1980-12-01,18.90,7.25,14.00,,
1981-01-01,19.08,7.25,14.00,,
1981-02-01,15.93,7.25,14.00,,
1981-03-01,14.70,6.25,12.00,,
1981-04-01,15.72,6.25,12.00,,
1981-05-01,18.52,6.25,12.00,,
1981-06-01,19.10,6.25,12.00,,
1981-07-01,19.04,6.25,12.00,,
1981-08-01,17.82,6.25,12.69,,
1981-09-01,15.87,6.25,14.00,,
1981-10-01,15.08,6.25,15.13,,
1981-11-01,13.31,6.25,14.56,,
1981-12-01,12.37,5.50,14.38,,
1982-01-01,13.22,5.50,13.88,,
1982-02-01,14.78,5.50,13.63,,
1982-03-01,14.68,5.50,13.25,,
1982-04-01,14.94,5.50,13.13,,
1982-05-01,14.45,5.50,13.13,,
1982-06-01,14.15,5.50,12.63,,
1982-07-01,12.59,5.50,11.63,,
1982-08-01,10.12,5.50,10.63,,
1982-09-01,10.31,5.50,10.13,,
1982-10-01,9.71,5.50,9.63,,
1982-11-01,9.20,5.50,10.00,,
1982-12-01,8.95,5.50,10.00,,
1983-01-01,8.68,5.50,11.00,,
1983-02-01,8.51,5.50,11.00,,
1983-03-01,8.77,5.50,10.56,,
1983-04-01,8.80,5.50,10.06,,
1983-05-01,8.63,5.50,10.06,,
1983-06-01,8.98,5.50,9.56,,
1983-07-01,9.37,5.50,9.56,,
1983-08-01,9.56,5.50,9.56,,
1983-09-01,9.45,5.50,9.56,,
