Date,US,Japan,UK,FEDFUNDS,"Effective Federal Funds Rate, Percent, Monthly, Not Seasonally Adjusted"
1983-10-01,9.48,5.00,9.06,,
1983-11-01,9.34,5.00,9.06,,
1983-12-01,9.47,5.00,9.06,,
1984-01-01,9.56,5.00,9.06,,
1984-02-01,9.59,5.00,9.06,,
1984-03-01,9.91,5.00,8.56,,
1984-04-01,10.29,5.00,8.56,,
1984-05-01,10.32,5.00,9.06,,
1984-06-01,11.06,5.00,8.88,,
1984-07-01,11.23,5.00,12.00,,
1984-08-01,11.64,5.00,10.50,,
1984-09-01,11.30,5.00,10.50,,
1984-10-01,9.99,5.00,10.50,,
1984-11-01,9.43,5.00,9.50,,
1984-12-01,8.38,5.00,9.50,,
1985-01-01,8.35,5.00,13.88,,
1985-02-01,8.50,5.00,13.88,,
1985-03-01,8.58,5.00,12.88,,
1985-04-01,8.27,5.00,12.38,,
1985-05-01,7.97,5.00,12.38,,
1985-06-01,7.53,5.00,12.38,,
1985-07-01,7.88,5.00,11.38,,
1985-08-01,7.90,5.00,11.38,,
1985-09-01,7.92,5.00,11.38,,
1985-10-01,7.99,5.00,11.38,,
1985-11-01,8.05,5.00,11.38,,
1985-12-01,8.27,5.00,11.38,,
1986-01-01,8.14,4.50,12.38,,
1986-02-01,7.86,4.50,12.38,,
1986-03-01,7.48,4.00,11.38,,
1986-04-01,6.99,3.50,10.38,,
1986-05-01,6.85,3.50,9.88,,
1986-06-01,6.92,3.50,9.88,,
1986-07-01,6.56,3.50,9.88,,
1986-08-01,6.17,3.50,9.88,,
1986-09-01,5.89,3.50,9.88,,
1986-10-01,5.85,3.50,10.88,,
1986-11-01,6.04,3.00,10.88,,
1986-12-01,6.91,3.00,10.88,,
1987-01-01,6.43,3.00,10.88,,
1987-02-01,6.10,2.50,10.88,,
1987-03-01,6.13,2.50,9.88,,
1987-04-01,6.37,2.50,9.38,,
1987-05-01,6.85,2.50,8.88,,
1987-06-01,6.73,2.50,8.88,,
1987-07-01,6.58,2.50,8.88,,
1987-08-01,6.73,2.50,9.88,,
1987-09-01,7.22,2.50,9.88,,
1987-10-01,7.29,2.50,9.38,,
1987-11-01,6.69,2.50,8.88,,
1987-12-01,6.77,2.50,8.38,,
1988-01-01,6.83,2.50,8.38,,
1988-02-01,6.58,2.50,8.88,,
1988-03-01,6.58,2.50,8.38,,
1988-04-01,6.87,2.50,7.88,,
1988-05-01,7.09,2.50,7.38,,
1988-06-01,7.51,2.50,8.88,,
1988-07-01,7.75,2.50,10.38,,
1988-08-01,8.01,2.50,11.88,,
1988-09-01,8.19,2.50,11.88,,
1988-10-01,8.30,2.50,11.88,,
1988-11-01,8.35,2.50,12.88,,
1988-12-01,8.76,2.50,12.88,,
1989-01-01,9.12,2.50,12.88,,
1989-02-01,9.36,2.50,12.88,,
1989-03-01,9.85,2.50,12.88,,
1989-04-01,9.84,2.50,12.88,,
1989-05-01,9.81,3.25,13.75,,
1989-06-01,9.53,3.25,13.75,,
1989-07-01,9.24,3.25,13.75,,
1989-08-01,8.99,3.25,13.84,,
1989-09-01,9.02,3.25,13.75,,
1989-10-01,8.84,3.75,14.88,,
1989-11-01,8.55,3.75,14.88,,
1989-12-01,8.45,4.25,14.88,,
1990-01-01,8.23,4.25,14.88,,
1990-02-01,8.24,4.25,14.88,,
1990-03-01,8.28,5.25,14.88,,
1990-04-01,8.26,5.25,14.88,,
1990-05-01,8.18,5.25,14.88,,
1990-06-01,8.29,5.25,14.88,,
1990-07-01,8.15,5.25,14.88,,
1990-08-01,8.13,6.00,14.88,,
1990-09-01,8.20,6.00,14.88,,
1990-10-01,8.11,6.00,13.88,,
1990-11-01,7.81,6.00,13.88,,
1990-12-01,7.31,6.00,13.88,,
1991-01-01,6.91,6.00,13.88,,
1991-02-01,6.25,6.00,12.88,,
1991-03-01,6.12,6.00,12.38,,
1991-04-01,5.91,6.00,11.88,,
1991-05-01,5.78,6.00,11.38,,
1991-06-01,5.90,6.00,11.38,,
1991-07-01,5.82,5.50,10.88,,
1991-08-01,5.66,5.50,10.88,,
1991-09-01,5.45,5.50,10.38,,
1991-10-01,5.21,5.50,10.38,,
1991-11-01,4.81,5.00,10.38,,
1991-12-01,4.43,4.50,10.38,,
1992-01-01,4.03,4.50,10.38,,
1992-02-01,4.06,4.50,10.38,,
1992-03-01,3.98,4.50,10.38,,
1992-04-01,3.73,3.75,10.38,,
1992-05-01,3.82,3.75,9.88,,
1992-06-01,3.76,3.75,9.88,,
1992-07-01,3.25,3.25,9.88,,
1992-08-01,3.30,3.25,9.88,,
1992-09-01,3.22,3.25,8.88,,
1992-10-01,3.10,3.25,7.88,,
1992-11-01,3.09,3.25,6.88,,
1992-12-01,2.92,3.25,6.88,,
1993-01-01,3.02,3.25,5.88,,
1993-02-01,3.03,2.50,5.88,,
1993-03-01,3.07,2.50,5.88,,
1993-04-01,2.96,2.50,5.88,,
1993-05-01,3.00,2.50,5.88,,
1993-06-01,3.04,2.50,5.88,,
1993-07-01,3.06,2.50,5.88,,
1993-08-01,3.03,2.50,5.88,,
1993-09-01,3.09,1.75,5.88,,
1993-10-01,2.99,1.75,5.88,,
1993-11-01,3.02,1.75,5.38,,
1993-12-01,2.96,1.75,5.38,,
1994-01-01,3.05,1.75,5.38,,
1994-02-01,3.25,1.75,5.13,,
1994-03-01,3.34,1.75,5.13,,
1994-04-01,3.56,1.75,5.13,,
1994-05-01,4.01,1.75,5.13,,
1994-06-01,4.25,1.75,5.13,,
1994-07-01,4.26,1.75,5.13,,
1994-08-01,4.47,1.75,5.13,,
1994-09-01,4.73,1.75,5.63,,
1994-10-01,4.76,1.75,5.63,,
1994-11-01,5.29,1.75,5.63,,
1994-12-01,5.45,1.75,6.13,,
1995-01-01,5.53,1.75,6.13,,
1995-02-01,5.92,1.75,6.63,,
1995-03-01,5.98,1.75,6.63,,
1995-04-01,6.05,1.00,6.63,,
1995-05-01,6.01,1.00,6.63,,
1995-06-01,6.00,1.00,6.63,,
1995-07-01,5.85,1.00,6.63,,
1995-08-01,5.74,1.00,6.63,,
1995-09-01,5.80,0.50,6.63,,
1995-10-01,5.76,0.50,6.63,,
1995-11-01,5.80,0.50,6.63,,
1995-12-01,5.60,0.50,6.38,,
1996-01-01,5.56,0.50,6.13,,
1996-02-01,5.22,0.50,6.13,,
1996-03-01,5.31,0.50,5.94,,
1996-04-01,5.22,0.50,5.94,,
1996-05-01,5.24,0.50,5.94,,
1996-06-01,5.27,0.50,5.69,,
1996-07-01,5.40,0.50,5.69,,
1996-08-01,5.22,0.50,5.69,,
1996-09-01,5.30,0.50,5.69,,
1996-10-01,5.24,0.50,5.94,,
1996-11-01,5.31,0.50,5.94,,
1996-12-01,5.29,0.50,5.94,,
1997-01-01,5.25,0.50,5.94,,
1997-02-01,5.19,0.50,5.94,,
1997-03-01,5.39,0.50,5.94,,
1997-04-01,5.51,0.50,5.94,,
1997-05-01,5.50,0.50,6.25,,
1997-06-01,5.56,0.50,6.50,,
1997-07-01,5.52,0.50,6.75,,
1997-08-01,5.54,0.50,7.00,,
1997-09-01,5.54,0.50,7.00,,
1997-10-01,5.50,0.50,7.00,,
1997-11-01,5.52,0.50,7.25,,
1997-12-01,5.50,0.50,7.25,,
1998-01-01,5.56,0.50,7.25,,
1998-02-01,5.51,0.50,7.25,,
1998-03-01,5.49,0.50,7.25,,
1998-04-01,5.45,0.50,7.25,,
1998-05-01,5.49,0.50,7.25,,
1998-06-01,5.56,0.50,7.50,,
1998-07-01,5.54,0.50,7.50,,
1998-08-01,5.55,0.50,7.50,,
1998-09-01,5.51,0.50,7.50,,
1998-10-01,5.07,0.50,7.25,,
1998-11-01,4.83,0.50,6.75,,
1998-12-01,4.68,0.50,6.25,,
1999-01-01,4.63,0.50,6.00,,
1999-02-01,4.76,0.50,5.50,,
1999-03-01,4.81,0.50,5.50,,
1999-04-01,4.74,0.50,5.25,,
1999-05-01,4.74,0.50,5.25,,
1999-06-01,4.76,0.50,5.00,,
1999-07-01,4.99,0.50,5.00,,
1999-08-01,5.07,0.50,5.00,,
1999-09-01,5.22,0.50,5.25,,
1999-10-01,5.20,0.50,5.25,,
1999-11-01,5.42,0.50,5.50,,
1999-12-01,5.30,0.50,5.50,,
2000-01-01,5.45,0.50,5.75,,
2000-02-01,5.73,0.50,6.00,,
2000-03-01,5.85,0.50,6.00,,
2000-04-01,6.02,0.50,6.00,,
2000-05-01,6.27,0.50,6.00,,
2000-06-01,6.53,0.50,6.00,,
2000-07-01,6.54,0.50,6.00,,
2000-08-01,6.50,0.50,6.00,,
2000-09-01,6.52,0.50,6.00,,
2000-10-01,6.51,0.50,6.00,,
2000-11-01,6.51,0.50,6.00,,
2000-12-01,6.40,0.50,6.00,,
2001-01-01,5.98,0.50,6.00,,
2001-02-01,5.49,0.35,5.75,,
2001-03-01,5.31,0.25,5.75,,
2001-04-01,4.80,0.25,5.50,,
2001-05-01,4.21,0.25,5.25,,
2001-06-01,3.97,0.25,5.25,,
2001-07-01,3.77,0.25,5.25,,
2001-08-01,3.65,0.25,5.00,,
2001-09-01,3.07,0.10,4.75,,
2001-10-01,2.49,0.10,4.50,,
2001-11-01,2.09,0.10,4.00,,
2001-12-01,1.82,0.10,4.00,,
2002-01-01,1.73,0.10,4.00,,
2002-02-01,1.74,0.10,4.00,,
2002-03-01,1.73,0.10,4.00,,
2002-04-01,1.75,0.10,4.00,,
2002-05-01,1.75,0.10,4.00,,
2002-06-01,1.75,0.10,4.00,,
2002-07-01,1.73,0.10,4.00,,
2002-08-01,1.74,0.10,4.00,,
2002-09-01,1.75,0.10,4.00,,
2002-10-01,1.75,0.10,4.00,,
2002-11-01,1.34,0.10,4.00,,
2002-12-01,1.24,0.10,4.00,,
2003-01-01,1.24,0.10,4.00,,
2003-02-01,1.26,0.10,3.75,,
2003-03-01,1.25,0.10,3.75,,
2003-04-01,1.26,0.10,3.75,,
2003-05-01,1.26,0.10,3.75,,
2003-06-01,1.22,0.10,3.75,,
2003-07-01,1.01,0.10,3.50,,
2003-08-01,1.03,0.10,3.50,,
2003-09-01,1.01,0.10,3.50,,
2003-10-01,1.01,0.10,3.50,,
2003-11-01,1.00,0.10,3.75,,
2003-12-01,0.98,0.10,3.75,,
2004-01-01,1.00,0.10,3.75,,
2004-02-01,1.01,0.10,4.00,,
2004-03-01,1.00,0.10,4.00,,
2004-04-01,1.00,0.10,4.00,,
2004-05-01,1.00,0.10,4.25,,
2004-06-01,1.03,0.10,4.50,,
2004-07-01,1.26,0.10,4.50,,
2004-08-01,1.43,0.10,4.75,,
2004-09-01,1.61,0.10,4.75,,
2004-10-01,1.76,0.10,4.75,,
2004-11-01,1.93,0.10,4.75,,
2004-12-01,2.16,0.10,4.75,,
2005-01-01,2.28,0.10,4.75,,
2005-02-01,2.50,0.10,4.75,,
2005-03-01,2.63,0.10,4.75,,
2005-04-01,2.79,0.10,4.75,,
2005-05-01,3.00,0.10,4.75,,
2005-06-01,3.04,0.10,4.75,,
2005-07-01,3.26,0.10,4.75,,
2005-08-01,3.50,0.10,4.50,,
2005-09-01,3.62,0.10,4.50,,
2005-10-01,3.78,0.10,4.50,,
2005-11-01,4.00,0.10,4.50,,
2005-12-01,4.16,0.10,4.50,,
2006-01-01,4.29,0.10,4.50,,
2006-02-01,4.49,0.10,4.50,,
2006-03-01,4.59,0.10,4.50,,
2006-04-01,4.79,0.10,4.50,,
2006-05-01,4.94,0.10,4.50,,
2006-06-01,4.99,0.10,4.50,,
2006-07-01,5.24,0.40,4.50,,
2006-08-01,5.25,0.40,4.75,,
2006-09-01,5.25,0.40,4.75,,
2006-10-01,5.25,0.40,4.75,,
2006-11-01,5.25,0.40,5.00,,
2006-12-01,5.24,0.40,5.00,,
2007-01-01,5.25,0.40,5.25,,
2007-02-01,5.26,0.75,5.25,,
2007-03-01,5.26,0.75,5.25,,
2007-04-01,5.25,0.75,5.25,,
2007-05-01,5.25,0.75,5.50,,
2007-06-01,5.25,0.75,5.50,,
2007-07-01,5.26,0.75,5.75,,
2007-08-01,5.02,0.75,5.75,,
2007-09-01,4.94,0.75,5.75,,
2007-10-01,4.76,0.75,5.75,,
2007-11-01,4.49,0.75,5.75,,
2007-12-01,4.24,0.75,5.50,,
2008-01-01,3.94,0.75,5.50,,
2008-02-01,2.98,0.75,5.25,,
2008-03-01,2.61,0.75,5.25,,
2008-04-01,2.28,0.75,5.00,,
2008-05-01,1.98,0.75,5.00,,
2008-06-01,2.00,0.75,5.00,,
2008-07-01,2.01,0.75,5.00,,
2008-08-01,2.00,0.75,5.00,,
2008-09-01,1.81,0.75,5.00,,
2008-10-01,0.97,0.50,4.50,,
2008-11-01,0.39,0.50,3.00,,
2008-12-01,0.16,0.30,2.00,,
2009-01-01,0.15,0.30,1.50,,
2009-02-01,0.22,0.30,1.00,,
2009-03-01,0.18,0.30,0.50,,
2009-04-01,0.15,0.30,0.50,,
2009-05-01,0.18,0.30,0.50,,
2009-06-01,0.21,0.30,0.50,,
2009-07-01,0.16,0.30,0.50,,
2009-08-01,0.16,0.30,0.50,,
2009-09-01,0.15,0.30,0.50,,
2009-10-01,0.12,0.30,0.50,,
2009-11-01,0.12,0.30,0.50,,
2009-12-01,0.12,0.30,0.50,,
2010-01-01,0.11,0.30,0.50,,
2010-02-01,0.13,0.30,0.50,,
2010-03-01,0.16,0.30,0.50,,
2010-04-01,0.20,0.30,0.50,,
2010-05-01,0.20,0.30,0.50,,
2010-06-01,0.18,0.30,0.50,,
2010-07-01,0.18,0.30,0.50,,
2010-08-01,0.19,0.30,0.50,,
2010-09-01,0.19,0.30,0.50,,
2010-10-01,0.19,0.30,0.50,,
2010-11-01,0.19,0.30,0.50,,
2010-12-01,0.18,0.30,0.50,,
2011-01-01,0.17,0.30,0.50,,
2011-02-01,0.16,0.30,0.50,,
2011-03-01,0.14,0.30,0.50,,
2011-04-01,0.10,0.30,0.50,,
2011-05-01,0.09,0.30,0.50,,
2011-06-01,0.09,0.30,0.50,,
2011-07-01,0.07,0.30,0.50,,
2011-08-01,0.10,0.30,0.50,,
2011-09-01,0.08,0.30,0.50,,
2011-10-01,0.07,0.30,0.50,,
2011-11-01,0.08,0.30,0.50,,
2011-12-01,0.07,0.30,0.50,,
2012-01-01,0.08,0.30,0.50,,
2012-02-01,0.10,0.30,0.50,,
2012-03-01,0.13,0.30,0.50,,
2012-04-01,0.14,0.30,0.50,,
2012-05-01,0.16,0.30,0.50,,
2012-06-01,0.16,0.30,0.50,,
2012-07-01,0.16,0.30,0.50,,
2012-08-01,0.13,0.30,0.50,,
2012-09-01,0.14,0.30,0.50,,
2012-10-01,0.16,0.30,0.50,,
2012-11-01,0.16,0.30,0.50,,
2012-12-01,0.16,0.30,0.50,,
2013-01-01,0.14,0.30,0.50,,
2013-02-01,0.15,0.30,0.50,,
2013-03-01,0.14,0.30,0.50,,
2013-04-01,0.15,0.30,0.50,,
2013-05-01,0.11,0.30,0.50,,
2013-06-01,0.09,0.30,0.50,,
2013-07-01,0.09,0.30,0.50,,
2013-08-01,0.08,0.30,0.50,,
2013-09-01,0.08,0.30,0.50,,
2013-10-01,0.09,0.30,0.50,,
2013-11-01,0.08,0.30,0.50,,
2013-12-01,0.09,0.30,0.50,,
2014-01-01,0.07,0.30,0.50,,
2014-02-01,0.07,0.30,0.50,,
2014-03-01,0.08,0.30,0.50,,
2014-04-01,0.09,0.30,0.50,,
2014-05-01,0.09,0.30,0.50,,
2014-06-01,0.10,0.30,0.50,,
2014-07-01,0.09,0.30,0.50,,
2014-08-01,0.09,0.30,0.50,,
2014-09-01,0.09,0.30,0.50,,
2014-10-01,0.09,0.30,0.50,,
2014-11-01,0.09,0.30,0.50,,
2014-12-01,0.12,0.30,0.50,,
2015-01-01,0.11,0.30,0.50,,
2015-02-01,0.11,0.30,0.50,,
2015-03-01,0.11,0.30,0.50,,
2015-04-01,0.12,0.30,0.50,,
2015-05-01,0.12,0.30,0.50,,
2015-06-01,0.13,0.30,0.50,,
2015-07-01,0.13,0.30,0.50,,
2015-08-01,0.14,0.30,0.50,,
2015-09-01,0.14,0.30,0.50,,
2015-10-01,0.12,0.30,0.50,,
2015-11-01,0.12,0.30,0.50,,
2015-12-01,0.24,0.30,0.50,,
2016-01-01,0.34,0.30,0.50,,
2016-02-01,0.38,0.30,0.50,,
2016-03-01,0.36,0.30,0.50,,
2016-04-01,0.37,0.30,0.50,,
2016-05-01,0.37,0.30,0.50,,
2016-06-01,0.38,0.30,0.50,,
2016-07-01,0.39,0.30,0.50,,
2016-08-01,0.40,0.30,0.25,,
2016-09-01,0.40,0.30,0.25,,
2016-10-01,0.40,0.30,0.25,,
2016-11-01,0.41,0.30,0.25,,
2016-12-01,0.54,0.30,0.25,,
2017-01-01,0.65,0.30,0.25,,
2017-02-01,0.66,0.30,0.25,,
2017-03-01,0.79,0.30,0.25,,
2017-04-01,0.90,0.30,0.25,,
2017-05-01,0.91,0.30,0.25,,
2017-06-01,1.04,0.30,0.25,,
2017-07-01,1.15,0.30,0.25,,
2017-08-01,1.16,0.30,0.25,,
2017-09-01,1.15,0.30,0.25,,
2017-10-01,1.15,0.30,0.25,,
2017-11-01,1.16,0.30,0.5,,
2017-12-01,1.30,0.30,0.5,,
2018-01-01,1.41,0.30,0.5,,
2018-02-01,1.42,0.30,0.5,,
2018-03-01,1.51,0.30,0.5,,
2018-04-01,1.69,0.30,0.5,,
2018-05-01,1.70,0.30,0.5,,
2018-06-01,1.82,0.30,0.5,,
2018-07-01,1.91,0.30,0.5,,
2018-08-01,1.91,0.30,0.5,,
2018-09-01,1.95,0.30,0.75,,
2018-10-01,2.19,0.30,0.75,,
2018-11-01,2.20,0.30,0.75,,
2018-12-01,2.27,0.30,0.75,,
2019-01-01,2.40,0.30,0.75,,
2019-02-01,2.40,0.30,0.75,,
2019-03-01,2.41,0.30,0.75,,
2019-04-01,2.42,0.30,0.75,,
2019-05-01,2.39,0.30,0.75,,
2019-06-01,2.38,0.30,0.75,,
2019-07-01,2.40,0.30,0.75,,
2019-08-01,2.13,0.30,0.75,,
2019-09-01,2.04,0.30,0.75,,
2019-10-01,1.83,0.30,0.75,,
2019-11-01,1.55,0.30,0.75,,
2019-12-01,1.55,0.30,0.75,,
2020-01-01,1.55,0.30,0.75,,
2020-02-01,1.58,0.30,0.75,,
2020-03-01,0.65,0.30,0.25,,
2020-04-01,0.05,0.30,0.1,,
2020-05-01,0.05,0.30,0.1,,
2020-06-01,0.08,0.30,0.1,,
2020-07-01,0.09,0.30,0.1,,
2020-08-01,0.10,0.30,0.1,,
2020-09-01,0.09,0.30,0.1,,
2020-10-01,0.09,0.30,0.1,,
2020-11-01,0.09,0.30,0.1,,
2020-12-01,0.09,0.30,0.1,,
2021-01-01,0.09,0.30,0.1,,
2021-02-01,0.08,0.30,0.1,,
